row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Tại ngày 31 tháng 12 năm > 2021 VND,Tại ngày 31 tháng 12 năm > 2020 VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2021 VND,numeric__Tại ngày 31 tháng 12 năm > 2020 VND
100,100,100,TÀI SẢN NGẮN HẠN,,9.709.383.802.038,8.198.590.237.083,,,9709383802038.0,8198590237083.0
110,110,110,Tiền và các khoản tương đương tiền,3,2.096.322.957.509,2.062.744.834.148,,3.0,2096322957509.0,2062744834148.0
111,111,111,Tiền,,428.322.957.509,151.644.834.148,,,428322957509.0,151644834148.0
112,112,112,Các khoản tương đương tiền,,1.668.000.000.000,1.911.100.000.000,,,1668000000000.0,1911100000000.0
120,120,120,Đầu tư tài chính ngắn hạn,,5.778.900.000.000,4.534.100.000.000,,,5778900000000.0,4534100000000.0
123,123,123,Đầu tư nắm giữ đến ngày đáo hạn,4(a),5.778.900.000.000,4.534.100.000.000,,,5778900000000.0,4534100000000.0
130,130,130,Các khoản phải thu ngắn hạn,,1.745.698.321.469,1.530.680.636.913,,,1745698321469.0,1530680636913.0
131,131,131,Phải thu ngắn hạn của khách hàng,5,123.051.205.676,103.692.219.466,,5.0,123051205676.0,103692219466.0
132,132,132,Trả trước cho người bán ngắn hạn,6,27.261.022.850,100.494.422.801,,6.0,27261022850.0,100494422801.0
135,135,135,Phải thu về cho vay ngắn hạn,7(a),405.325.000.000,195.500.000.000,,,405325000000.0,195500000000.0
136,136,136,Phải thu ngắn hạn khác,8,1.191.430.940.776,1.139.494.264.022,,8.0,1191430940776.0,1139494264022.0
137,137,137,Dự phòng phải thu ngắn hạn khó đòi,,(1.369.847.833),(8.500.269.376),,,-1369847833.0,-8500269376.0
140,140,140,Hàng tồn kho,,947.836.253,8.129.915.288,,,947836253.0,8129915288.0
141,141,141,Hàng tồn kho,,947.836.253,8.129.915.288,,,947836253.0,8129915288.0
150,150,150,Tài sản ngắn hạn khác,,87.514.686.807,62.934.850.734,,,87514686807.0,62934850734.0
151,151,151,Chi phí trả trước ngắn hạn,,5.200.019.846,3.370.626.124,,,5200019846.0,3370626124.0
152,152,152,"Thuế giá trị gia tăng (""GTGT"") được khấu trừ",,78.257.803.652,59.529.421.982,,,78257803652.0,59529421982.0
153,153,153,Thuế và các khoản khác phải thu Nhà nước,13(a),4.056.863.309,34.802.628,,,4056863309.0,34802628.0
200,200,200,TÀI SẢN DÀI HẠN,,9.941.929.883.432,8.405.582.486.214,,,9941929883432.0,8405582486214.0
210,210,210,Các khoản phải thu dài hạn,,400.000.000,400.000.000,,,400000000.0,400000000.0
215,215,215,Phải thu về cho vay dài hạn,7(b),400.000.000,400.000.000,,,400000000.0,400000000.0
220,220,220,Tài sản cố định,,1.989.611.749.089,340.335.618.970,,,1989611749089.0,340335618970.0
221,221,221,Tài sản cố định hữu hình,10(a),1.964.991.660.866,328.421.086.062,,,1964991660866.0,328421086062.0
222,222,222,Nguyên giá,,2.157.917.378.291,494.420.950.331,,,2157917378291.0,494420950331.0
223,223,223,Giá trị khấu hao lũy kế,,(192.925.717.425),(165.999.864.269),,,-192925717425.0,-165999864269.0
227,227,227,Tài sản cố định vô hình,10(b),24.620.088.223,11.914.532.908,,,24620088223.0,11914532908.0
228,228,228,Nguyên giá,,104.887.409.954,81.059.561.892,,,104887409954.0,81059561892.0
229,229,229,Giá trị khấu hao lũy kế,,(80.267.321.731),(69.145.028.984),,,-80267321731.0,-69145028984.0
240,240,240,Tài sản dở dang dài hạn,,39.136.595.453,1.340.743.130.808,,,39136595453.0,1340743130808.0
242,242,242,Chi phí xây dựng cơ bản dở dang,11,39.136.595.453,1.340.743.130.808,,11.0,39136595453.0,1340743130808.0
250,250,250,Đầu tư tài chính dài hạn,,7.882.613.409.012,6.722.613.409.012,,,7882613409012.0,6722613409012.0
251,251,251,Đầu tư vào công ty con,4(b),7.389.613.409.012,6.229.613.409.012,,,7389613409012.0,6229613409012.0
252,252,252,Đầu tư vào công ty liên kết,4(b),492.500.000.000,492.500.000.000,,,492500000000.0,492500000000.0
253,253,253,Đầu tư góp vốn vào đơn vị khác,4(b),500.000.000,500.000.000,,,500000000.0,500000000.0
260,260,260,Tài sản dài hạn khác,,30.168.129.878,1.490.327.424,,,30168129878.0,1490327424.0
261,261,261,Chi phí trả trước dài hạn,9,18.798.434.851,1.490.327.424,,9.0,18798434851.0,1490327424.0
262,262,262,Tài sản thuế thu nhập hoãn lại,,11.369.695.027,-,,,11369695027.0,
270,270,270,TỔNG TÀI SẢN,,19.651.313.685.470,16.604.172.723.297,,,19651313685470.0,16604172723297.0
