row_label_raw,row_label_full,STT,Họ và tên,Chức danh,2023VND,2022VND,numeric__Họ và tên,numeric__Chức danh,numeric__2023VND,numeric__2022VND
,,,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,Thù lao thành viên Hội đồng Quản trị,,,,
1,1,1,Ông Trương Gia Bình,Chủ tịch,-,-,,,,
2,2,2,Ông Bùi Quang Ngọc,Phó Chủ tịch,-,-,,,,
3,3,3,Ông Đỗ Cao Bảo,Ủy viên,-,-,,,,
4,3 > 4,4,Ông Jean Charles Belliol,Ủy viên,960.000.000,870.000.000,,,960000000.0,870000000.0
5,3 > 5,5,Bà Trần Thị Hồng Lĩnh,Ủy viên(từ ngày 7/4/2022),360.000.000,270.000.000,,,360000000.0,270000000.0
6,3 > 6,6,Ông Hiroshi Yokotsuka,Ủy viên(từ ngày 7/4/2022),2.389.250.000,1.758.750.000,,,2389250000.0,1758750000.0
7,3 > 7,7,Ông HampapurRangadore Binod,Ủy viên(từ ngày 7/4/2022),2.389.250.000,1.758.750.000,,,2389250000.0,1758750000.0
8,3 > 8,8,Ông Lê Song Lai,Ủy viên(đến ngày 7/4/2022),-,66.000.000,,,,66000000.0
9,3 > 9,9,Ông TomokazuHamaguchi,Ủy viên(đến ngày 7/4/2022),-,574.375.000,,,,574375000.0
10,3 > 10,10,Ông Dan E Khoo,Ủy viên(đến ngày 7/4/2022),-,574.375.000,,,,574375000.0
,,,,,6.098.500.000,5.872.250.000,,,6098500000.0,5872250000.0
