row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
A,A,A,B,C,1,2,,,1.0,2.0
"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng","I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng","I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng",,,,,,,,
1. Tiền thu bán chứng khoán môi giới cho khách hàng,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 1. Tiền thu bán chứng khoán môi giới cho khách hàng",1. Tiền thu bán chứng khoán môi giới cho khách hàng,1,,191.373.651.523.476,146.823.476.127.761,1.0,,191373651523476.0,146823476127761.0
2. Tiền chi mua chứng khoán môi giới cho khách hàng,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 2. Tiền chi mua chứng khoán môi giới cho khách hàng",2. Tiền chi mua chứng khoán môi giới cho khách hàng,2,,(192.469.773.889.509),(147.264.955.221.619),2.0,,-192469773889509.0,-147264955221619.0
7. Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 7. Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng",7. Nhận tiền gửi để thanh toán giao dịch chứng khoán của khách hàng,7,,1.726.416.162.428,(218.022.068.369),7.0,,1726416162428.0,-218022068369.0
11. Chi trả phí lưu ký chứng khoán của khách hàng,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 11. Chi trả phí lưu ký chứng khoán của khách hàng",11. Chi trả phí lưu ký chứng khoán của khách hàng,11,,(20.523.362.193),(14.783.796.220),11.0,,-20523362193.0,-14783796220.0
12. Thu lỗi giao dịch chứng khoán,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 12. Thu lỗi giao dịch chứng khoán",12. Thu lỗi giao dịch chứng khoán,12,,,,12.0,,,
13. Chi lỗi giao dịch chứng khoán,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 13. Chi lỗi giao dịch chứng khoán",13. Chi lỗi giao dịch chứng khoán,13,,,,13.0,,,
14. Tiền thu của Tổ chức phát hành chứng khoán,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 14. Tiền thu của Tổ chức phát hành chứng khoán",14. Tiền thu của Tổ chức phát hành chứng khoán,14,,1.979.735.896.233,1.671.520.938.337,14.0,,1979735896233.0,1671520938337.0
15. Tiền chi trả Tổ chức phát hành chứng khoán,"I. Lưu chuyển tiền hoạt động môi giới, ủy thác của khách hàng > 15. Tiền chi trả Tổ chức phát hành chứng khoán",15. Tiền chi trả Tổ chức phát hành chứng khoán,15,,(1.979.472.432.733),(1.669.999.809.487),15.0,,-1979472432733.0,-1669999809487.0
