row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn_1,Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn_1,numeric__Số cuối năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,numeric__Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,numeric__Số cuối năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn_1,numeric__Số đầu năm > Giá gốcVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,numeric__Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,numeric__Số đầu năm > Giá trị ghi sốVND > Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn_1
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,13.577.350.000.000,13.577.350.000.000,13.577.350.000.000,5.898.450.000.000,5.898.450.000.000,5.898.450.000.000,13577350000000.0,13577350000000.0,13577350000000.0,5898450000000.0,5898450000000.0,5898450000000.0
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,13.577.350.000.000,13.577.350.000.000,13.577.350.000.000,5.898.450.000.000,5.898.450.000.000,5.898.450.000.000,13577350000000.0,13577350000000.0,13577350000000.0,5898450000000.0,5898450000000.0,5898450000000.0
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốcVND,Giá trị theo phương pháp vốn chủ sở hữuVND,Giá trị hợp lýVND,Giá gốcVND,Giá trị theo phương pháp vốn chủ sở hữuVND,Giá trị hợp lýVND,,,,,,
"Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết","Đầu tư vào Công ty liên doanh, liên kết",,,,,,
Công ty Cổ phần Đầu tư Phát triển Gas đô thị (i),"Đầu tư vào Công ty liên doanh, liên kết > Công ty Cổ phần Đầu tư Phát triển Gas đô thị (i)",Công ty Cổ phần Đầu tư Phát triển Gas đô thị (i),-,-,-,48.240.000.000,73.962.636.311,57.620.000.000,,,,48240000000.0,73962636311.0,57620000000.0
Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,"Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom",Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,58.000.000.000,56.592.703.133,56.592.703.133,58.000.000.000,58.323.195.272,58.323.195.272,58000000000.0,56592703133.0,56592703133.0,58000000000.0,58323195272.0,58323195272.0
Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,"Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom",Công ty TNHH Khí nhiên liệu Giao thông vận tải PVGazprom,58.000.000.000,56.592.703.133,56.592.703.133,106.240.000.000,132.285.831.583,115.943.195.272,58000000000.0,56592703133.0,56592703133.0,106240000000.0,132285831583.0,115943195272.0
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,,,,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,,,
Công ty Cổ phần Năng lượng Vinabenny,Đầu tư vào đơn vị khác > Công ty Cổ phần Năng lượng Vinabenny,Công ty Cổ phần Năng lượng Vinabenny,50.000.000.000,(50.000.000.000),-,50.000.000.000,(50.000.000.000),-,50000000000.0,-50000000000.0,,50000000000.0,-50000000000.0,
Công ty Cổ phần Đầu tư và Kinh doanh,Đầu tư vào đơn vị khác > Công ty Cổ phần Đầu tư và Kinh doanh,Công ty Cổ phần Đầu tư và Kinh doanh,25.000.000.000,(25.000.000.000),-,25.000.000.000,(25.000.000.000),-,25000000000.0,-25000000000.0,,25000000000.0,-25000000000.0,
Tài sản Việt Nam,Tài sản Việt Nam,Tài sản Việt Nam,Tài sản Việt Nam,Tài sản Việt Nam,Tài sản Việt Nam,Tài sản Việt Nam,Tài sản Việt Nam,Tài sản Việt Nam,,,,,,
Công ty Cổ phần Đầu tư Phát triển Gas đô thị (i),Tài sản Việt Nam > Công ty Cổ phần Đầu tư Phát triển Gas đô thị (i),Công ty Cổ phần Đầu tư Phát triển Gas đô thị (i),24.120.000.000,-,37.520.000.000,-,-,-,24120000000.0,,37520000000.0,,,
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Tài sản Việt Nam > Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,10.000.000.000,-,10.000.000.000,10.000.000.000,-,10.000.000.000,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
Đơn vị khác,Tài sản Việt Nam > Đơn vị khác,Đơn vị khác,1.920.000.000,-,1.920.000.000,1.920.000.000,-,1.920.000.000,1920000000.0,,1920000000.0,1920000000.0,,1920000000.0
Đơn vị khác,Tài sản Việt Nam > Đơn vị khác,Đơn vị khác,111.040.000.000,(75.000.000.000),49.440.000.000,86.920.000.000,(75.000.000.000),11.920.000.000,111040000000.0,-75000000000.0,49440000000.0,86920000000.0,-75000000000.0,11920000000.0
