row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Giá vốn bán khí khô,Giá vốn bán khí khô,Giá vốn bán khí khô,29.411.356.052.747,27.073.736.921.219,29411356052747.0,27073736921219.0
Giá vốn bán LPG,Giá vốn bán LPG,Giá vốn bán LPG,23.174.609.714.995,18.342.417.720.595,23174609714995.0,18342417720595.0
Giá vốn vận chuyển khí và condensate,Giá vốn vận chuyển khí và condensate,Giá vốn vận chuyển khí và condensate,778.033.946.139,897.649.832.056,778033946139.0,897649832056.0
Giá vốn bán CNG,Giá vốn bán CNG,Giá vốn bán CNG,3.193.316.222.261,2.232.083.849.829,3193316222261.0,2232083849829.0
Giá vốn bán condensate,Giá vốn bán condensate,Giá vốn bán condensate,1.068.695.869.443,426.144.793.179,1068695869443.0,426144793179.0
Giá vốn bán xăng dầu nhớt,Giá vốn bán xăng dầu nhớt,Giá vốn bán xăng dầu nhớt,87.370.995.228,66.793.195.009,87370995228.0,66793195009.0
Giá vốn cho thuê tòa nhà PVGAS Tower,Giá vốn cho thuê tòa nhà PVGAS Tower,Giá vốn cho thuê tòa nhà PVGAS Tower,30.650.048.738,31.917.015.446,30650048738.0,31917015446.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,376.194.832.657,288.799.812.809,376194832657.0,288799812809.0
,,,58.120.227.682.208,49.359.543.140.142,58120227682208.0,49359543140142.0
