row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,a. Chi phí trả trước ngắn hạn,,
Chi phí bảo hiểm,a. Chi phí trả trước ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,32.480.192.839,32.829.308.589,32480192839.0,32829308589.0
"Chi phí quảng cáo, truyền thông","a. Chi phí trả trước ngắn hạn > Chi phí quảng cáo, truyền thông","Chi phí quảng cáo, truyền thông",13.056.712.115,20.990.166.669,13056712115.0,20990166669.0
Chi phí trả trước ngắn hạn khác,a. Chi phí trả trước ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,5.162.578.426,13.534.301.462,5162578426.0,13534301462.0
,,,50.699.483.380,67.353.776.720,50699483380.0,67353776720.0
b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,b. Chi phí trả trước dài hạn,,
Chi phí vỏ bình gas,b. Chi phí trả trước dài hạn > Chi phí vỏ bình gas,Chi phí vỏ bình gas,303.921.718.158,225.652.742.766,303921718158.0,225652742766.0
Tiền thuê đất và thuê văn phòng,b. Chi phí trả trước dài hạn > Tiền thuê đất và thuê văn phòng,Tiền thuê đất và thuê văn phòng,40.076.643.540,42.937.360.461,40076643540.0,42937360461.0
Chi phí nội thất văn phòng,b. Chi phí trả trước dài hạn > Chi phí nội thất văn phòng,Chi phí nội thất văn phòng,3.539.588.565,9.969.137.974,3539588565.0,9969137974.0
Chi phí trả trước dài hạn khác,b. Chi phí trả trước dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,23.879.529.025,18.406.721.702,23879529025.0,18406721702.0
,,,371.417.479.288,296.965.962.903,371417479288.0,296965962903.0
