row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,
"Các Công ty con, Công ty liên doanh, liên kết","Phải trả người bán ngắn hạn > Các Công ty con, Công ty liên doanh, liên kết","Các Công ty con, Công ty liên doanh, liên kết",2.434.083.231,1.380.492.224,2434083231.0,1380492224.0
Công ty Cổ phần Kinh doanh Khí Miền Nam,Phải trả người bán ngắn hạn > Công ty Cổ phần Kinh doanh Khí Miền Nam,Công ty Cổ phần Kinh doanh Khí Miền Nam,2.434.083.231,1.380.492.224,2434083231.0,1380492224.0
Các bên liên quan khác,Phải trả người bán ngắn hạn > Các bên liên quan khác,Các bên liên quan khác,726.927.028.179,602.615.146.649,726927028179.0,602615146649.0
Liên doanh Việt - Nga VietsovPetro,Phải trả người bán ngắn hạn > Liên doanh Việt - Nga VietsovPetro,Liên doanh Việt - Nga VietsovPetro,200.952.930.031,172.169.591.633,200952930031.0,172169591633.0
Cơ quan Tập đoàn Dầu khí Việt Nam,Phải trả người bán ngắn hạn > Cơ quan Tập đoàn Dầu khí Việt Nam,Cơ quan Tập đoàn Dầu khí Việt Nam,184.117.736.588,92.293.519.979,184117736588.0,92293519979.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Phải trả người bán ngắn hạn > Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,175.912.959.380,108.093.930.612,175912959380.0,108093930612.0
Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,Phải trả người bán ngắn hạn > Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,Công ty Cổ phần Lộc Hóa Dầu Bình Sơn,53.216.420.850,135.460.121.321,53216420850.0,135460121321.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Phải trả người bán ngắn hạn > Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,51.052.676.344,49.677.809.574,51052676344.0,49677809574.0
Công ty Cổ phần PVI,Phải trả người bán ngắn hạn > Công ty Cổ phần PVI,Công ty Cổ phần PVI,39.868.601.167,109.270.159,39868601167.0,109270159.0
