row_label_raw,row_label_full,col_0,col_1,2021VND,2020VND,numeric__col_1,numeric__2021VND,numeric__2020VND
(i),(i),(i),Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,,,
(i),(i),(i),Công ty mẹ,,,,,
(i),(i) > (i),(i),Tập đoàn Dầu khí Việt Nam,2.510.199.547.526,2.998.314.808.150,,2510199547526.0,2998314808150.0
(i),(i),(i),Các công ty con,,,,,
(i),(i) > (i),(i),Công ty Cổ phần Phân phối Khí thấp áp Dầu khí Việt Nam,8.144.905.800.854,6.838.689.025.420,,8144905800854.0,6838689025420.0
(i),(i) > (i),(i),Công ty Cổ phần Kinh doanh LPG Việt Nam,3.396.536.849.801,2.417.340.058.891,,3396536849801.0,2417340058891.0
(i),(i) > (i),(i),Công ty Cổ phần CNG Việt Nam,23.974.936.114,133.858.731.802,,23974936114.0,133858731802.0
(i),(i),(i),Các công ty liên kết,,,,,
(i),(i) > (i),(i),Công ty Cổ phần Kinh doanh Khí Miền Nam,2.411.082.584.199,1.958.753.433.586,,2411082584199.0,1958753433586.0
(i),(i) > (i),(i),Công ty TNHH Khí nhiên liệu Giao thông Vận tải PVGazprom,936.989.434,997.614.315,,936989434.0,997614315.0
(i),(i),(i),Các bên liên quan khác,,,,,
(i),(i) > (i),(i),Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,4.742.864.780.932,5.061.392.208.297,,4742864780932.0,5061392208297.0
(i),(i) > (i),(i),Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,3.238.684.414.446,2.654.019.114.864,,3238684414446.0,2654019114864.0
(i),(i) > (i),(i),Tổng Công ty Thăm dò và Khai thác Dầu khí,528.038.339.418,446.074.186.212,,528038339418.0,446074186212.0
(i),(i) > (i),(i),Tổng Công ty Dầu Việt Nam - CTCP,751.981.926.959,296.492.730.082,,751981926959.0,296492730082.0
(i),(i) > (i),(i),Tổng Công ty Cổ phần Vận tải Dầu khí,175.655.412.232,213.173.187.781,,175655412232.0,213173187781.0
(i),(i) > (i),(i),Liên doanh Việt - Nga Vietsovpetro,200.729.443.879,-,,200729443879.0,
(i),(i) > (i),(i),Tổng Công ty Hóa chất và Dịch vụ Dầu Khí - CTCP,69.353.612.895,-,,69353612895.0,
