row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2023,Nguyên giá > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,286.158.172.000,242.644.542.002,2.272.066.077,531.074.780.079,286158172000.0,242644542002.0,2272066077.0,531074780079.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,10.550.703.529,-,10.550.703.529,,10550703529.0,,10550703529.0
Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bản dở dang (Thuyết minh 12),-,16.143.518.519,-,16.143.518.519,,16143518519.0,,16143518519.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(4.365.950.000),-,(4.365.950.000),,-4365950000.0,,-4365950000.0
Tại ngày 31 tháng 12 năm 2023,Nguyên giá > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,286.158.172.000,264.972.814.050,2.272.066.077,553.403.052.127,286158172000.0,264972814050.0,2272066077.0,553403052127.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,4.704.089.857,197.924.833.975,1.509.451.311,204.138.375.143,4704089857.0,197924833975.0,1509451311.0,204138375143.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,332.944.764,30.686.026.155,610.091.820,31.629.062.739,332944764.0,30686026155.0,610091820.0,31629062739.0
Xóa số,Giá trị khấu hao lũy kế > Xóa số,Xóa số,-,(4.365.950.000),-,(4.365.950.000),,-4365950000.0,,-4365950000.0
Tại ngày 31 tháng 12 năm 2023,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,5.037.034.621,224.244.910.130,2.119.543.131,231.401.487.882,5037034621.0,224244910130.0,2119543131.0,231401487882.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2023,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,281.454.082.143,44.719.708.027,762.614.766,326.936.404.936,281454082143.0,44719708027.0,762614766.0,326936404936.0
Tại ngày 31 tháng 12 năm 2023,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,281.121.137.379,40.727.903.920,152.522.946,322.001.564.245,281121137379.0,40727903920.0,152522946.0,322001564245.0
