row_label_raw,row_label_full,Mã số,TÀI SẢN (tiếp theo),Thuyết minh,Tại ngày 31 tháng 12 năm > 2024 VND,Tại ngày 31 tháng 12 năm > 2023 VND,numeric__TÀI SẢN (tiếp theo),numeric__Thuyết minh,numeric__Tại ngày 31 tháng 12 năm > 2024 VND,numeric__Tại ngày 31 tháng 12 năm > 2023 VND
200,200,200,TÀI SẢN DẢI HẠN,,24.724.875.932.737,25.971.432.174.462,,,24724875932737.0,25971432174462.0
210,210,210,Các khoản phải thu dài hạn,,522.167.263.371,308.629.662.027,,,522167263371.0,308629662027.0
212,212,212,Trả trước cho người bán dài hạn,,70.495.232.935,75.492.428.136,,,70495232935.0,75492428136.0
216,216,216,Phải thu dài hạn khác,7(b),451.672.030.436,233.137.233.891,,,451672030436.0,233137233891.0
220,220,220,Tài sản cố định,,16.644.708.646.046,18.092.404.135.864,,,16644708646046.0,18092404135864.0
221,221,221,Tài sản cố định hữu hình,11(a),16.341.486.733.669,17.770.402.571.619,,,16341486733669.0,17770402571619.0
222,222,222,Nguyên giá,,59.760.433.505.797,58.607.793.063.590,,,59760433505797.0,58607793063590.0
223,223,223,Giá trị khấu hao lũy kế,,(43.418.946.772.128),(40.837.390.491.971),,,-43418946772128.0,-40837390491971.0
227,227,227,Tài sản cố định vô hình,11(b),303.221.912.377,322.001.564.245,,,303221912377.0,322001564245.0
228,228,228,Nguyên giá,,558.471.089.979,553.403.052.127,,,558471089979.0,553403052127.0
229,229,229,Giá trị khấu hao lũy kế,,(255.249.177.602),(231.401.487.882),,,-255249177602.0,-231401487882.0
240,240,240,Tài sản dở dang dài hạn,,1.411.524.965.365,1.556.117.193.703,,,1411524965365.0,1556117193703.0
242,242,242,Chỉ phí xây dựng cơ bản dở dang,12,1.411.524.965.365,1.556.117.193.703,,12.0,1411524965365.0,1556117193703.0
250,250,250,Đầu tư tài chính dài hạn,,2.958.552.070.894,3.028.913.260.634,,,2958552070894.0,3028913260634.0
251,251,251,Đầu tư vào công ty con,4(b),3.745.870.071.633,3.745.870.071.633,,,3745870071633.0,3745870071633.0
252,252,252,Đầu tư vào công ty liên kết,4(c),284.460.000.000,284.460.000.000,,,284460000000.0,284460000000.0
254,254,254,Dự phòng đầu tư tài chính dài hạn,"4(b), 4(c)",(1.071.778.000.739),(1.001.416.810.999),,,-1071778000739.0,-1001416810999.0
260,260,260,Tài sản dài hạn khác,,3.187.922.987.061,2.985.367.922.234,,,3187922987061.0,2985367922234.0
261,261,261,Chỉ phí trả trước dài hạn,10(b),3.187.922.987.061,2.985.367.922.234,,,3187922987061.0,2985367922234.0
270,270,270,TỔNG TẢI SẢN,,78.781.946.257.137,85.349.803.820.589,,,78781946257137.0,85349803820589.0
