row_label_raw,row_label_full,col_0,NGUỒN VỐN,Thuyết > Mã số,Thuyết > minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Thuyết > Mã số,numeric__Thuyết > minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHÁI TRẢ,300,,25.914.808.991.853,20.283.886.142.528,,300.0,,25914808991853.0,20283886142528.0
I.,I.,I.,Nợ ngắn hạn,310,,20.573.719.389.418,14.575.489.059.608,,310.0,,20573719389418.0,14575489059608.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,16,11.925.122.947.416,6.037.010.202.174,,311.0,16.0,11925122947416.0,6037010202174.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,,447.467.999.760,270.548.145.715,,312.0,,447467999760.0,270548145715.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,17,1.006.497.154.930,682.837.407.395,,313.0,17.0,1006497154930.0,682837407395.0
4.,4.,4.,Phải trả người lao động,314,,476.584.660.439,409.699.768.279,,314.0,,476584660439.0,409699768279.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,18,4.226.253.151.500,2.995.123.654.976,,315.0,18.0,4226253151500.0,2995123654976.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,19,1.308.805.721,2.241.036.607.643,,318.0,19.0,1308805721.0,2241036607643.0
7.,7.,7.,Phải trả ngắn hạn khác,319,20,333.114.428.193,373.838.581.752,,319.0,20.0,333114428193.0,373838581752.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,21,1.439.827.466.686,933.829.846.483,,320.0,21.0,1439827466686.0,933829846483.0
9.,9.,9.,"Quỹ khen thưởng, phúc lợi",322,22,717.542.774.773,631.564.845.191,,322.0,22.0,717542774773.0,631564845191.0
II.,II.,II.,Nợ dài hạn,330,,5.341.089.602.435,5.708.397.082.920,,330.0,,5341089602435.0,5708397082920.0
1.,1.,1.,Doanh thu chưa thực hiện dài hạn,336,,17.230.329.623,18.094.359.687,,336.0,,17230329623.0,18094359687.0
2.,2.,2.,Phải trả dài hạn khác,337,20,109.883.490.101,129.700.198.659,,337.0,20.0,109883490101.0,129700198659.0
3.,3.,3.,Vay và nợ thuê tài chính dài hạn,338,21,1.531.862.874.096,2.290.752.009.267,,338.0,21.0,1531862874096.0,2290752009267.0
4.,4.,4.,Thuế thu nhập hoãn lại phải trả,341,,283.528.428.389,293.780.671.709,,341.0,,283528428389.0,293780671709.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,23,3.161.711.327.997,2.940.586.829.099,,342.0,23.0,3161711327997.0,2940586829099.0
6.,6.,6.,Quỹ phát triển khoa học và công nghệ,343,,236.873.152.229,35.483.014.499,,343.0,,236873152229.0,35483014499.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,67.653.389.117.937,61.570.995.265.630,,400.0,,67653389117937.0,61570995265630.0
I.,I.,I.,Vốn chủ sở hữu,410,24,67.653.389.117.937,61.570.995.265.630,,410.0,24.0,67653389117937.0,61570995265630.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,24.129.497.560.000,23.426.729.190.000,,411.0,,24129497560000.0,23426729190000.0
,,,- Cổ phiếu phố thông có quyền biểu quyết,411a,,24.129.497.560.000,23.426.729.190.000,,,,24129497560000.0,23426729190000.0
2.,2.,2.,Thặng dư vốn cổ phần,412,,246.727.266,246.727.266,,412.0,,246727266.0,246727266.0
3.,3.,3.,Vốn khác của chủ sở hữu,414,,300.272.460.670,300.272.460.670,,414.0,,300272460670.0,300272460670.0
4.,4.,4.,Chênh lệch tỷ giá hối doái,417,,247.477.295,-,,417.0,,247477295.0,
5.,5.,5.,Quỹ đầu tư phát triển,418,,29.380.604.391.166,26.967.513.791.091,,418.0,,29380604391166.0,26967513791091.0
6.,6.,6.,Lợi nhuận sau thuế chưa phân phối,421,,12.484.110.062.726,9.553.019.715.422,,421.0,,12484110062726.0,9553019715422.0
,,,- Lợi nhuận sau thuế chưa phân phối/(lỗ) lũy kế đến cuối năm trước,421a,,1.271.658.010.533,(647.086.478.241),,,,1271658010533.0,-647086478241.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,11.212.452.052.193,10.200.106.193.663,,,,11212452052193.0,10200106193663.0
7.,7.,7.,Lợi ích của cổ đông không kiểm soát,429,,1.358.410.438.814,1.323.213.381.181,,429.0,,1358410438814.0,1323213381181.0
