row_label_raw,row_label_full,col_0,Nhà xuǒngvà vát kien trúc,Máy mócvà thiet bj,"Phuong tiên vân tǎi, thiet bj truyèndǎn",Thiet bjvǎn phong,Cộng trinh khí vàcác thiet bj khac,Tóng,numeric__Nhà xuǒngvà vát kien trúc,numeric__Máy mócvà thiet bj,"numeric__Phuong tiên vân tǎi, thiet bj truyèndǎn",numeric__Thiet bjvǎn phong,numeric__Cộng trinh khí vàcác thiet bj khac,numeric__Tóng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Só du dàu nám,NGUYÊN GIÁ > Só du dàu nám,Só du dàu nám,12.694.975.751.615,5.705.599.375.180,938.118.568.583,515.984.937.841,44.948.651.383.383,64.803.330.016.602,12694975751615.0,5705599375180.0,938118568583.0,515984937841.0,44948651383383.0,64803330016602.0
Mua mòi trong nám,NGUYÊN GIÁ > Mua mòi trong nám,Mua mòi trong nám,16.256.140.524,91.327.702.139,6.055.408.786,42.072.564.439,6.305.555.038,162.017.370.926,16256140524.0,91327702139.0,6055408786.0,42072564439.0,6305555038.0,162017370926.0
Dàu tu xay dung co bànhoàn thanh,NGUYÊN GIÁ > Dàu tu xay dung co bànhoàn thanh,Dàu tu xay dung co bànhoàn thanh,23.054.989.324,53.969.995.741,-,2.101.541.634,241.540.514.348,320.667.041.047,23054989324.0,53969995741.0,,2101541634.0,241540514348.0,320667041047.0
Phân loai lai,NGUYÊN GIÁ > Phân loai lai,Phân loai lai,(489.000.000),748.462.297,-,98.019.891,(357.482.188),-,-489000000.0,748462297.0,,98019891.0,-357482188.0,
"Thanh ly, nhuong bán","NGUYÊN GIÁ > Thanh ly, nhuong bán","Thanh ly, nhuong bán",(2.762.158.661),(10.259.765.979),(5.135.594.621),(9.373.862.762),(1.998.602.623),(29.529.984.646),-2762158661.0,-10259765979.0,-5135594621.0,-9373862762.0,-1998602623.0,-29529984646.0
Tang/(Giám) khac,NGUYÊN GIÁ > Tang/(Giám) khac,Tang/(Giám) khac,1.174.687.412,4.500.000.000,-,(578.440.109),(159.184.792.219),(154.088.544.916),1174687412.0,4500000000.0,,-578440109.0,-159184792219.0,-154088544916.0
Só du cuǒi nám,NGUYÊN GIÁ > Só du cuǒi nám,Só du cuǒi nám,12.732.210.410.214,5.845.885.769.378,939.038.382.748,550.304.760.934,45.034.956.575.739,65.102.395.899.013,12732210410214.0,5845885769378.0,939038382748.0,550304760934.0,45034956575739.0,65102395899013.0
GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,GIÁ TRI HAO MÔN LUY KÉ,,,,,,
Só du dàu nám,GIÁ TRI HAO MÔN LUY KÉ > Só du dàu nám,Só du dàu nám,5.764.150.961.782,3.970.311.916.492,798.992.694.561,448.065.186.365,35.969.185.008.727,46.950.705.767.927,5764150961782.0,3970311916492.0,798992694561.0,448065186365.0,35969185008727.0,46950705767927.0
