row_label_raw,row_label_full,col_0,Closing balance,Opening balance,numeric__Closing balance,numeric__Opening balance
,,,VND,VND,,
a. Taxes and amounts receivables from the State Budget,a. Taxes and amounts receivables from the State Budget,a. Taxes and amounts receivables from the State Budget,a. Taxes and amounts receivables from the State Budget,a. Taxes and amounts receivables from the State Budget,,
Import tax,Import tax,Import tax,"97,037,465,093","18,947,720,153",,
Other taxes,Other taxes,Other taxes,"114,130,226","5,000,000",,
,,,"97,151,595,319","18,952,720,153",,
b. Taxes and other payables to the State Budget,b. Taxes and other payables to the State Budget,b. Taxes and other payables to the State Budget,b. Taxes and other payables to the State Budget,b. Taxes and other payables to the State Budget,,
Corporate income tax,Corporate income tax,Corporate income tax,"919,308,180,572","504,226,624,150",,
Value added tax,Value added tax,Value added tax,"20,712,693,696","129,541,333,831",,
Personal income tax,Personal income tax,Personal income tax,"43,758,405,840","28,075,561,704",,
Other taxes,Other taxes,Other taxes,"111,189,401","77,277,375",,
,,,"983,890,469,509","661,920,797,060",,
