row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, bằng sáng chế",Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, bằng sáng chế",numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,22.298.050.922,73.167.615.577,42.744.307.450,138.209.973.949,22298050922.0,73167615577.0,42744307450.0,138209973949.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,392.000.000,-,392.000.000,,392000000.0,,392000000.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,3.287.514.170,-,3.287.514.170,,3287514170.0,,3287514170.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(966.600.000),-,(966.600.000),,-966600000.0,,-966600000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,22.298.050.922,75.880.529.747,42.744.307.450,140.922.888.119,22298050922.0,75880529747.0,42744307450.0,140922888119.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,3.690.880.314,35.869.749.924,4.962.870.771,44.523.501.009,3690880314.0,35869749924.0,4962870771.0,44523501009.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,258.489.855,14.223.155.823,2.431.324.813,16.912.970.491,258489855.0,14223155823.0,2431324813.0,16912970491.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,(966.600.000),-,(966.600.000),,-966600000.0,,-966600000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.949.370.169,49.126.305.747,7.394.195.584,60.469.871.500,3949370169.0,49126305747.0,7394195584.0,60469871500.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,18.607.170.608,37.297.865.653,37.781.436.679,93.686.472.940,18607170608.0,37297865653.0,37781436679.0,93686472940.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,18.348.680.753,26.754.224.000,35.350.111.866,80.453.016.619,18348680753.0,26754224000.0,35350111866.0,80453016619.0
