row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",158.014.456.000,181.608.123.100,158014456000.0,181608123100.0
Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,Công ty Cổ phần Hạ tầng GELEX,66.653.190.000,113.316.487.500,66653190000.0,113316487500.0
Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,Công ty TNHH S.A.S - CTAMAD,61.425.000.000,44.027.224.600,61425000000.0,44027224600.0
Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,Tổng Công ty Thiết bị điện Đông Anh - CTCP,29.936.266.000,24.264.411.000,29936266000.0,24264411000.0
Cổ tức đã trả,Cổ tức đã trả,Cổ tức đã trả,527.991.200.000,686.388.560.000,527991200000.0,686388560000.0
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,479.991.200.000,623.988.560.000,479991200000.0,623988560000.0
Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,Công ty Cổ phần Máy tính - Truyền thông - Điều khiển 3C,33.000.000.000,42.900.000.000,33000000000.0,42900000000.0
Công ty Cổ phần GVI,Công ty Cổ phần GVI,Công ty Cổ phần GVI,15.000.000.000,19.500.000.000,15000000000.0,19500000000.0
Cho vay,Cho vay,Cho vay,1.100.000.000.000,110.000.000.000,1100000000000.0,110000000000.0
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,1.100.000.000.000,110.000.000.000,1100000000000.0,110000000000.0
Thu hồi gốc cho vay,Thu hồi gốc cho vay,Thu hồi gốc cho vay,950.000.000.000,390.000.000.000,950000000000.0,390000000000.0
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,950.000.000.000,390.000.000.000,950000000000.0,390000000000.0
Lãi cho vay,Lãi cho vay,Lãi cho vay,7.472.054.795,9.620.821.920,7472054795.0,9620821920.0
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,7.472.054.795,9.620.821.920,7472054795.0,9620821920.0
Đi vay,Đi vay,Đi vay,160.000.000.000,1.360.000.000.000,160000000000.0,1360000000000.0
Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,Công ty Cổ phần Tập đoàn GELEX,160.000.000.000,1.360.000.000.000,160000000000.0,1360000000000.0
