row_label_raw,row_label_full,col_0,Hoạt động sản xuất và bán điện VND,Hoạt động xây lắp VND,Hoạt động cung cấp dịch vụ VND,Hoạt động sản xuất và bán trụ BTLT VND,Loại trừ VND,Tổng cộng VND,numeric__Hoạt động sản xuất và bán điện VND,numeric__Hoạt động xây lắp VND,numeric__Hoạt động cung cấp dịch vụ VND,numeric__Hoạt động sản xuất và bán trụ BTLT VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu > Bán hàng và cung cấp dịch vụ ra bên ngoài,Bán hàng và cung cấp dịch vụ ra bên ngoài,356.872.588.357(1.869.116.843),57.345.450.00516.738.047.047,16.487.659.730(7.049.167.152),675.339.304-,- (7.819.763.052),431.381.037.396-,,5.734545000516738e+21,,,,
Trong nội bộ Tập đoàn,Trong nội bộ Tập đoàn,Trong nội bộ Tập đoàn,,,,,,,,,,,,
Tổng doanh thu,Trong nội bộ Tập đoàn > Tổng doanh thu,Tổng doanh thu,355.003.471.514,74.083.497.052,9.438.492.578,675.339.304,(7.819.763.052),431.381.037.396,355003471514.0,74083497052.0,9438492578.0,675339304.0,-7819763052.0,431381037396.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,
Lợi nhuận gộp của bộ phận,Kết quả hoạt động kinh doanh > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,197.685.318.424,4.403.028.766,7.016.697.773,6.237.948,9.742.213.875,218.853.496.786(51.412.620.501),197685318424.0,4403028766.0,7016697773.0,6237948.0,9742213875.0,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,26.819.957.563(45.764.781.992),,,,,,
Doanh thu hoạt động tài chính,Chi phí không phân bổ > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,744.685.080,,,,,,744685080.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,,,149.240.736.936(13.075.736.361),,,,,,
Lợi nhuận khác,Chi phí tài chính > Lợi nhuận khác,Lợi nhuận khác,,,,,,(1.751.494.869),,,,,,-1751494869.0
Lợi nhuận trước thuế TNDN,Chi phí tài chính > Lợi nhuận trước thuế TNDN,Lợi nhuận trước thuế TNDN,,,,,,134.413.505.706,,,,,,134413505706.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,,,,,,,,,
Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,,,,,,,
Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,,,,,,
Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016,,,,,,
Tài sản bộ phận,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016 > Tài sản bộ phận,Tài sản bộ phận,1.187.204.040.438,190.770.465.897,54.849.312.857,-,-,1.432.823.819.192118.860.393.830,1187204040438.0,190770465897.0,54849312857.0,,,1.4328238191921188e+24
Tài sản không phân bổ,Tài sản và nợ phải trả tại ngày 31 tháng 12 năm 2016 > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,1.551.684.213.022,,,,,,1551684213022.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,,,,,,,,,,
Nợ phải trả bộ phận,Tổng tài sản > Nợ phải trả bộ phận,Nợ phải trả bộ phận,248.846.279.348,39.986.825.374,11.496.800.014,-,-,300.329.904.736100.671.694.631,248846279348.0,39986825374.0,11496800014.0,,,3.003299047361007e+23
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,,,,
Tổng nợ phải trả,Nợ phải trả không phân bổ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,401.001.599.367,,,,,,401001599367.0
