row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Số cuối năm VND,Số đầu năm VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Số cuối năm VND,numeric__Số đầu năm VND
300,300,300,NỘ PHẢI TRẢ,,8.734.985.031.041,4.305.192.356.027,,,8734985031041.0,4305192356027.0
310,310,310,Nợ ngắn hạn,,877.776.314.058,1.101.060.622.205,,,877776314058.0,1101060622205.0
311,311,311,Phải trả người bán ngắn hạn,15(a),314.711.791.641,375.696.287.279,,,314711791641.0,375696287279.0
312,312,312,Người mua trả tiền trước ngắn hạn,,2.866.006.194,3.427.489.507,,,2866006194.0,3427489507.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,16,65.532.053.995,37.688.208.417,,16.0,65532053995.0,37688208417.0
314,314,314,Phải trả người lao động,,342.164.130,942.072.351,,,342164130.0,942072351.0
315,315,315,Chỉ phí phải trả ngắn hạn,17,31.770.419.492,34.311.373.812,,17.0,31770419492.0,34311373812.0
318,318,318,Doanh thu chưa thực hiện ngắn hạn,,211.935.870,245.510.991,,,211935870.0,245510991.0
319,319,319,Phải trả ngắn hạn khác,18,14.174.867.466,12.151.024.381,,18.0,14174867466.0,12151024381.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,19(a),407.690.961.028,600.884.827.153,,,407690961028.0,600884827153.0
322,322,322,"Quỹ khen thưởng, phúc lợi",20,40.476.114.242,35.713.828.314,,20.0,40476114242.0,35713828314.0
330,330,330,Nợ dài hạn,,7.857.208.716.983,3.204.131.733.822,,,7857208716983.0,3204131733822.0
331,331,331,Phải trả người bán dài hạn,15(b),1.158.644.135.385,-,,,1158644135385.0,
336,336,336,Doanh thu chưa thực hiện dài hạn,,36.990.556,46.238.198,,,36990556.0,46238198.0
338,338,338,Vay và nợ thuê tài chính dài hạn,19(b),6.695.140.195.028,3.200.587.035.002,,,6695140195028.0,3200587035002.0
342,342,342,Dự phòng phải trả dài hạn,21,3.215.584.109,3.215.584.109,,21.0,3215584109.0,3215584109.0
343,343,343,Quỹ phát triển khoa học và công nghệ,,171.811.905,282.876.513,,,171811905.0,282876513.0
400,400,400,VỐN CHỦ SỞ HỮU,,3.737.693.464.178,3.467.915.778.275,,,3737693464178.0,3467915778275.0
410,410,410,Vốn chủ sở hữu,,3.737.693.464.178,3.467.915.778.275,,,3737693464178.0,3467915778275.0
411,411,411,Vốn góp của chủ sở hữu,"23, 24",3.037.155.260.000,2.711.751.880.000,,,3037155260000.0,2711751880000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,3.037.155.260.000,2.711.751.880.000,,,3037155260000.0,2711751880000.0
412,412,412,Thặng dư vốn cổ phần,24,37.852.662.153,38.206.262.153,,24.0,37852662153.0,38206262153.0
418,418,418,Quỹ đầu tư phát triển,24,94.241.012.572,87.318.702.905,,24.0,94241012572.0,87318702905.0
421,421,421,"Lợi nhuận sau thuế (""LNST"") chưa phân phối",24,208.327.095.118,219.977.103.593,,24.0,208327095118.0,219977103593.0
421a,421a,421a,- LNST chưa phân phối lũy kế của các năm trước,,18.493.147.065,23.238.923.236,,,18493147065.0,23238923236.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,189.833.948.053,196.738.180.357,,,189833948053.0,196738180357.0
429,429,429,Lợi ích cổ đông không kiểm soát,,360.117.434.335,410.661.829.624,,,360117434335.0,410661829624.0
440,440,440,TỔNG NGUỒN VỐN,,12.472.678.495.219,7.773.108.134.302,,,12472678495219.0,7773108134302.0
