row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày đầu năm và ngày cuối năm,Nguyên giá > Tại ngày đầu năm và ngày cuối năm,Tại ngày đầu năm và ngày cuối năm,14.172.847.431,6.976.012.757,171.739.184,21.320.599.372,14172847431.0,6976012757.0,171739184.0,21320599372.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,6.742.690.360,-,-,6.742.690.360,6742690360.0,,,6742690360.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),400.419.200,-,-,400.419.200,400419200.0,,,400419200.0
Tại ngày cuối năm,Nguyên giá > Tại ngày cuối năm,Tại ngày cuối năm,21.315.956.991,6.976.012.757,171.739.184,28.463.708.932,21315956991.0,6976012757.0,171739184.0,28463708932.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày đầu năm,Khấu hao lũy kế > Tại ngày đầu năm,Tại ngày đầu năm,1.738.305.601,2.703.183.985,133.193.572,4.574.683.158,1738305601.0,2703183985.0,133193572.0,4574683158.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,609.414.348,2.084.475.164,12.883.164,2.706.772.676,609414348.0,2084475164.0,12883164.0,2706772676.0
Tại ngày cuối năm,Khấu hao lũy kế > Tại ngày cuối năm,Tại ngày cuối năm,2.347.719.949,4.787.659.149,146.076.736,7.281.455.834,2347719949.0,4787659149.0,146076736.0,7281455834.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,12.434.541.830,4.272.828.772,38.545.612,16.745.916.214,12434541830.0,4272828772.0,38545612.0,16745916214.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,18.968.237.042,2.188.353.608,25.662.448,21.182.253.098,18968237042.0,2188353608.0,25662448.0,21182253098.0
