row_label_raw,row_label_full,Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số cuối năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4),numeric__Số đầu năm VND > Phải thu ngắn hạn của khách hàng (Thuyết minh 4)
Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,Tổng Công ty Điện lực Miền Trung,46.575.412.080,35.837.883.082,46575412080.0,35837883082.0
Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,Công ty TNHH MTV Nhiệt điện Ninh Hòa,199.080.000,-,199080000.0,
Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,Công ty TNHH Mía đường TTC Attapeu,110.000.000,-,110000000.0,
Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,Công ty TNHH MTV đường Biên Hòa - Ninh Hòa,10.000.000,30.863.000,10000000.0,30863000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,-,497.110.373,,497110373.0
Công ty TNHH Kasekam Youveakchun Sway Rieng,Công ty TNHH Kasekam Youveakchun Sway Rieng,Công ty TNHH Kasekam Youveakchun Sway Rieng,60.000.000,-,60000000.0,
,,,46.954.492.080,36.365.856.455,46954492080.0,36365856455.0
Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),Trà trước cho người bán ngắn hạn (Thuyết minh 5),,
Công ty Cổ phần Đầu tư Thành Thành Công,Trà trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty Cổ phần Đầu tư Thành Thành Công,Công ty Cổ phần Đầu tư Thành Thành Công,47.000.000.000,-,47000000000.0,
Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Trà trước cho người bán ngắn hạn (Thuyết minh 5) > Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,Công ty TNHH Một thành viên Tư vấn và Phát triển Năng lượng Gia Lai,-,120.000.000,,120000000.0
,,,47.000.000.000,120.000.000,47000000000.0,120000000.0
Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),Phải thu về cho vay ngắn hạn (Thuyết minh 6),,
Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,Công ty Cổ Phần Năng lượng Điện Gió Tiền Giang,153.340.000.000,-,153340000000.0,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,135.327.376.270,87.175.900.000,135327376270.0,87175900000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Phải thu về cho vay ngắn hạn (Thuyết minh 6) > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,-,2.900.000.000,,2900000000.0
,,,288.667.376.270,90.075.900.000,288667376270.0,90075900000.0
Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),Phải thu ngắn hạn khác (Thuyết minh 7),,
Công ty Cổ phần Thủy điện Trường Phú,Phải thu ngắn hạn khác (Thuyết minh 7) > Công ty Cổ phần Thủy điện Trường Phú,Công ty Cổ phần Thủy điện Trường Phú,1.264.291.379,851.457.762,1264291379.0,851457762.0
Công ty Cổ phần Điện TTC Đức Huệ-Long An,Phải thu ngắn hạn khác (Thuyết minh 7) > Công ty Cổ phần Điện TTC Đức Huệ-Long An,Công ty Cổ phần Điện TTC Đức Huệ-Long An,-,7.120.000.000,,7120000000.0
Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Phải thu ngắn hạn khác (Thuyết minh 7) > Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,Công ty Cổ phần Hợp tác Phát triển Năng lượng tái tạo Vi - Ja,-,6.516.000.000,,6516000000.0
Công ty TNHH Một thành viên Thủy điện Thương Lộ,Phải thu ngắn hạn khác (Thuyết minh 7) > Công ty TNHH Một thành viên Thủy điện Thương Lộ,Công ty TNHH Một thành viên Thủy điện Thương Lộ,-,3.900.000.000,,3900000000.0
,,,1.264.291.379,18.387.457.762,1264291379.0,18387457762.0
