row_label_raw,row_label_full,col_0,Mối quan hệ,Năm 2016,Năm 2015,numeric__Mối quan hệ,numeric__Năm 2016,numeric__Năm 2015
,,,Mối quan hệ,VND,VND,,,
Góp vốn/mua thêm phần vốn góp,Góp vốn/mua thêm phần vốn góp,Góp vốn/mua thêm phần vốn góp,,2.003.481.701.363,-,,2003481701363.0,
Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty con,263.865.205.000,-,,263865205000.0,
Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty con,13.000.000.000,-,,13000000000.0,
Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty con,578.200.000.000,-,,578200000000.0,
Công ty TNHH Một thành viên Thiết bị đo điện,Công ty TNHH Một thành viên Thiết bị đo điện,Công ty TNHH Một thành viên Thiết bị đo điện,Công ty con,368.000.000.000,-,,368000000000.0,
Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty con,220.000.000.000,-,,220000000000.0,
Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,,6.123.660.000,-,,6123660000.0,
Công ty Cổ phần kho vận Miền Nam,Công ty Cổ phần kho vận Miền Nam,Công ty Cổ phần kho vận Miền Nam,Công ty liên kết,554.292.836.363,-,,554292836363.0,
"Đoanh thu cung cấp hàng hóa, dịch vụ","Đoanh thu cung cấp hàng hóa, dịch vụ","Đoanh thu cung cấp hàng hóa, dịch vụ",,504.624.709.940,678.317.840.669,,504624709940.0,678317840669.0
Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,Công ty con,430.814.881.551,570.920.260.544,,430814881551.0,570920260544.0
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,6.400.948.853,8.697.244.120,,6400948853.0,8697244120.0
Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty Cổ phần Đầu tư Xây dựng GELEX,Công ty con,406.823.092,,,406823092.0,
Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty con,7.918.490.916,24.751.354.967,,7918490916.0,24751354967.0
Công ty TNHH Một thành viên Thiết bị đo điện,Công ty TNHH Một thành viên Thiết bị đo điện,Công ty TNHH Một thành viên Thiết bị đo điện,Công ty con,4.996.743.495,,,4996743495.0,
Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty Cổ phần Chế tạo Máy điện Việt Nam - Hungari,Công ty liên kết,14.082.000,,,14082000.0,
Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty Cổ phần Sản xuất và Thương mại EMIC (EPT),Công ty liên kết,37.439.457.864,58.587.141.625,,37439457864.0,58587141625.0
Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,Công ty con,14.100.872.300,12.520.597.680,,14100872300.0,12520597680.0
Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty Dây đồng Việt Nam - CFT,Công ty liên kết,487.090.869,471.927.233,,487090869.0,471927233.0
Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty Cổ phần Khí cụ điện I,Công ty liên kết,2.045.319.000,2.369.314.500,,2045319000.0,2369314500.0
