row_label_raw,row_label_full,Năm trước > Số đầu năm > - Tăng vốn trong năm,Vốn cổ phần > Năm trước > 4.065.600.000.000 > 180.000.000.000,Thặng dư vốn cổ phần > Năm trước > 547.112.000.000 > 66.457.000.000,Cổ phiếu quỹ > Năm trước > -,Lợi nhuận sau thuế chưa phân phối > Năm trước > 172.334.410.969 > -,Đơn vị tính: VND > Năm trước > 4.785.046.410.969 > 246.457.000.000,numeric__Vốn cổ phần > Năm trước > 4.065.600.000.000 > 180.000.000.000,numeric__Thặng dư vốn cổ phần > Năm trước > 547.112.000.000 > 66.457.000.000,numeric__Cổ phiếu quỹ > Năm trước > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước > 172.334.410.969 > -,numeric__Đơn vị tính: VND > Năm trước > 4.785.046.410.969 > 246.457.000.000
- Tăng vốn cổ phần từ nguồn vốn chủ sở hữu,- Tăng vốn cổ phần từ nguồn vốn chủ sở hữu,- Tăng vốn cổ phần từ nguồn vốn chủ sở hữu,636.840.000.000,(547.112.000.000),-,(89.728.000.000),-,636840000000.0,-547112000000.0,,-89728000000.0,
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,89.286.509.147,89.286.509.147,,,,89286509147.0,89286509147.0
"- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,-,(1.700.000.000),(1.700.000.000),,,,-1700000000.0,-1700000000.0
Số cuối năm,Số cuối năm,Số cuối năm,4.882.440.000.000,66.457.000.000,-,170.192.920.116,5.119.089.920.116,4882440000000.0,66457000000.0,,170192920116.0,5119089920116.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.882.440.000.000,66.457.000.000,-,170.192.920.116,5.119.089.920.116,4882440000000.0,66457000000.0,,170192920116.0,5119089920116.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,548.270.259.254,548.270.259.254,,,,548270259254.0,548270259254.0
- Mua cổ phiếu quỹ (i),Năm nay > - Mua cổ phiếu quỹ (i),- Mua cổ phiếu quỹ (i),-,-,(299.967.829.249),-,(299.967.829.249),,,-299967829249.0,,-299967829249.0
- Bán cổ phiếu quỹ cho nhân viên (ii),Năm nay > - Bán cổ phiếu quỹ cho nhân viên (ii),- Bán cổ phiếu quỹ cho nhân viên (ii),-,(53.382.238.549),196.969.838.549,-,143.587.600.000,,-53382238549.0,196969838549.0,,143587600000.0
"- Trích quỹ khen thưởng, phúc lợi (iii)","Năm nay > - Trích quỹ khen thưởng, phúc lợi (iii)","- Trích quỹ khen thưởng, phúc lợi (iii)",-,-,-,(3.000.000.000),(3.000.000.000),,,,-3000000000.0,-3000000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.882.440.000.000,13.074.761.451,(102.997.990.700),715.463.179.370,5.507.979.950.121,4882440000000.0,13074761451.0,-102997990700.0,715463179370.0,5507979950121.0
