row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu nămVND,numeric__Số cuối nămVND,numeric__Số đầu nămVND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
Phải trả ngân hàng liên quan đến thư tín dụng LC,a. Ngắn hạn > Phải trả ngân hàng liên quan đến thư tín dụng LC,Phải trả ngân hàng liên quan đến thư tín dụng LC,1.306.140.632.161,3.998.670.006.366,1306140632161.0,3998670006366.0
"Nhận đặt cọc, ký quỹ, ký cược ngắn hạn","a. Ngắn hạn > Nhận đặt cọc, ký quỹ, ký cược ngắn hạn","Nhận đặt cọc, ký quỹ, ký cược ngắn hạn",215.151.619.099,408.647.249.913,215151619099.0,408647249913.0
"Cổ tức, lợi nhuận phải trả","a. Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",39.626.031.674,23.995.337.378,39626031674.0,23995337378.0
"Các khoản phải trả, phải nộp khác","a. Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",248.520.852.239,211.610.465.711,248520852239.0,211610465711.0
,,,1.809.439.135.173,4.642.923.059.368,1809439135173.0,4642923059368.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,b. Dài hạn,,
"Nhận ký quỹ, ký cược dài hạn","b. Dài hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",63.549.931.686,63.069.650.794,63549931686.0,63069650794.0
"Các khoản phải trả, phải nộp khác","b. Dài hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",2.667.247.950,-,2667247950.0,
,,,66.217.179.636,63.069.650.794,66217179636.0,63069650794.0
Trong đó: Phải trả ngắn hạn khác các bên liên quan(Chi tiết tại Thuyết minh số 38),b. Dài hạn > Trong đó: Phải trả ngắn hạn khác các bên liên quan(Chi tiết tại Thuyết minh số 38),Trong đó: Phải trả ngắn hạn khác các bên liên quan(Chi tiết tại Thuyết minh số 38),903.138.491,861.653.355,903138491.0,861653355.0
