row_label_raw,row_label_full,col_0,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
,,,VND,VND,,
Góp vốn bằng tài sản,Góp vốn bằng tài sản,Góp vốn bằng tài sản,Góp vốn bằng tài sản,Góp vốn bằng tài sản,,
Công ty SanVig - CTCP,Góp vốn bằng tài sản > Công ty SanVig - CTCP,Công ty SanVig - CTCP,6.237.292.159,-,6237292159.0,
Công ty SanVig - CTCP,Góp vốn bằng tài sản > Công ty SanVig - CTCP,Công ty SanVig - CTCP,6.237.292.159,-,6237292159.0,
Đi vay,Đi vay,Đi vay,Đi vay,Đi vay,,
Công ty Cổ phần Titan Hải Phòng (*),Đi vay > Công ty Cổ phần Titan Hải Phòng (*),Công ty Cổ phần Titan Hải Phòng (*),222.391.400.000,-,222391400000.0,
Công ty Cổ phần Titan Hải Phòng (*),Đi vay > Công ty Cổ phần Titan Hải Phòng (*),Công ty Cổ phần Titan Hải Phòng (*),222.391.400.000,-,222391400000.0,
Lãi đi vay,Lãi đi vay,Lãi đi vay,Lãi đi vay,Lãi đi vay,,
Công ty Cổ phần Titan Hải Phòng (*),Lãi đi vay > Công ty Cổ phần Titan Hải Phòng (*),Công ty Cổ phần Titan Hải Phòng (*),2.345.772.301,-,2345772301.0,
Công ty Cổ phần Titan Hải Phòng (*),Lãi đi vay > Công ty Cổ phần Titan Hải Phòng (*),Công ty Cổ phần Titan Hải Phòng (*),2.345.772.301,-,2345772301.0,
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Công ty Cổ phần Viglacera Đông Trièreu,Thu nhập khác > Công ty Cổ phần Viglacera Đông Trièreu,Công ty Cổ phần Viglacera Đông Trièreu,149.133.353,123.272.274,149133353.0,123272274.0
Công ty Cổ phần Viglacera Hạ Long II,Thu nhập khác > Công ty Cổ phần Viglacera Hạ Long II,Công ty Cổ phần Viglacera Hạ Long II,86.296.288,92.727.264,86296288.0,92727264.0
,,,235.429.641,215.999.538,235429641.0,215999538.0
