row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số Thuyết minh,Mã số Thuyết minh_1,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số Thuyết minh,numeric__Mã số Thuyết minh_1,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,10.013.429.006.385,6.562.704.387.398,,100.0,,10013429006385.0,6562704387398.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5,2.450.706.786.906,166.077.200.003,,110.0,5.0,2450706786906.0,166077200003.0
1.,1.,1.,Tiền,111,,750.706.786.906,166.077.200.003,,111.0,,750706786906.0,166077200003.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.700.000.000.000,-,,112.0,,1700000000000.0,
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,6,4.749.192.512.911,4.523.657.452.136,,120.0,6.0,4749192512911.0,4523657452136.0
1.,1.,1.,Chứng khoán kinh doanh,121,,4.779.931.022.186,4.547.632.976.936,,121.0,,4779931022186.0,4547632976936.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kính doanh,122,,(30.738.509.275),(23.975.524.800),,122.0,,-30738509275.0,-23975524800.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,2.466.540.163.637,1.296.901.014.225,,130.0,,2466540163637.0,1296901014225.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,7,70.147.192.329,322.891.928.179,,131.0,7.0,70147192329.0,322891928179.0
2.,2.,2.,Trá trước cho người bán ngắn hạn,132,8,390.824.565.306,298.984.861.697,,132.0,8.0,390824565306.0,298984861697.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,9,1.922.500.000.000,304.625.000.000,,135.0,9.0,1922500000000.0,304625000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,10,97.241.201.512,384.572.019.859,,136.0,10.0,97241201512.0,384572019859.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,11,(14.172.795.510),(14.172.795.510),,137.0,11.0,-14172795510.0,-14172795510.0
IV.,IV.,IV.,Hàng tồn kho,140,12,179.055.918.059,520.138.320.861,,140.0,12.0,179055918059.0,520138320861.0
1.,1.,1.,Hàng tồn kho,141,,179.055.918.059,520.138.320.861,,141.0,,179055918059.0,520138320861.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,167.933.624.872,55.930.400.173,,150.0,,167933624872.0,55930400173.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,13,13.727.451.731,15.291.277.467,,151.0,13.0,13727451731.0,15291277467.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,142.737.179.164,34.142.224.212,,152.0,,142737179164.0,34142224212.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,19,11.468.993.977,6.496.898.494,,153.0,19.0,11468993977.0,6496898494.0
