row_label_raw,row_label_full,- Công ty Cổ phần Cao su Tây Ninh,Công ty con,58.500.000.000,27.000.000.000,numeric__Công ty con,numeric__58.500.000.000,numeric__27.000.000.000
- Công ty Cổ phần Kho Vận và Dịch Vụ hàng hóa Cao su,- Công ty Cổ phần Kho Vận và Dịch Vụ hàng hóa Cao su,- Công ty Cổ phần Kho Vận và Dịch Vụ hàng hóa Cao su,Công ty liên kết,8.640.000.000,10.800.000.000,,8640000000.0,10800000000.0
- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,- Công ty Cổ phần Cao su Bến Thành,Công ty liên kết,4.231.960.600,2.418.263.200,,4231960600.0,2418263200.0
- Công ty Cổ phần Cao su Đồng Phú,- Công ty Cổ phần Cao su Đồng Phú,- Công ty Cổ phần Cao su Đồng Phú,Công ty con,72.000.000.000,96.000.000.000,,72000000000.0,96000000000.0
- Công ty Cổ phần Cao su Hòa Bình,- Công ty Cổ phần Cao su Hòa Bình,- Công ty Cổ phần Cao su Hòa Bình,Công ty con,38.016.000.000,23.760.000.000,,38016000000.0,23760000000.0
- Công ty Cổ phần Cao su Phước Hòa,- Công ty Cổ phần Cao su Phước Hòa,- Công ty Cổ phần Cao su Phước Hòa,Công ty con,189.554.421.000,81.237.609.000,,189554421000.0,81237609000.0
- Công ty Cổ phần Cơ Khí Cao su,- Công ty Cổ phần Cơ Khí Cao su,- Công ty Cổ phần Cơ Khí Cao su,Công ty con,972.000.000,445.500.000,,972000000.0,445500000.0
- Công ty Cổ phần Công Nghiệp & XNK Cao su,- Công ty Cổ phần Công Nghiệp & XNK Cao su,- Công ty Cổ phần Công Nghiệp & XNK Cao su,Công ty con,-,1.941.333.240,,,1941333240.0
- Công ty Cổ phần Đầu Tư Xây dựng Cao su,- Công ty Cổ phần Đầu Tư Xây dựng Cao su,- Công ty Cổ phần Đầu Tư Xây dựng Cao su,Công ty liên kết,-,3.696.000.000,,,3696000000.0
- Công ty Cổ phần gỗ MDF VRG Quảng Trị,- Công ty Cổ phần gỗ MDF VRG Quảng Trị,- Công ty Cổ phần gỗ MDF VRG Quảng Trị,Công ty con,28.883.452.010,13.052.925.000,,28883452010.0,13052925000.0
- Công ty Cổ phần Khu Công nghiệp Hồ Nai,- Công ty Cổ phần Khu Công nghiệp Hồ Nai,- Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty con,5.376.000.000,3.763.200.000,,5376000000.0,3763200000.0
- Công ty Cổ phần Khu Công Nghiệp Nam Tân Uyên,- Công ty Cổ phần Khu Công Nghiệp Nam Tân Uyên,- Công ty Cổ phần Khu Công Nghiệp Nam Tân Uyên,Công ty liên kết,8.820.900.000,3.267.000.000,,8820900000.0,3267000000.0
- Công ty Cổ phần Thế Thao Ngõi Sao Geru,- Công ty Cổ phần Thế Thao Ngõi Sao Geru,- Công ty Cổ phần Thế Thao Ngõi Sao Geru,Công ty con,708.200.000,708.200.000,,708200000.0,708200000.0
- Công ty Cổ phần Thủy điện GERUCO Sông Côn,- Công ty Cổ phần Thủy điện GERUCO Sông Côn,- Công ty Cổ phần Thủy điện GERUCO Sông Côn,Công ty con,7.650.000.000,9.562.500.000,,7650000000.0,9562500000.0
- Công ty Cổ phần VRG - Bảo Lộc,- Công ty Cổ phần VRG - Bảo Lộc,- Công ty Cổ phần VRG - Bảo Lộc,Công ty con,12.937.827.000,12.013.696.500,,12937827000.0,12013696500.0
- Công ty Cổ phần Xây dựng - Địa ốc Cao su,- Công ty Cổ phần Xây dựng - Địa ốc Cao su,- Công ty Cổ phần Xây dựng - Địa ốc Cao su,Công ty liên kết,1.013.625.000,1.013.625.000,,1013625000.0,1013625000.0
- Công ty Cổ phần Xây dựng và Tư Văn Đầu tư,- Công ty Cổ phần Xây dựng và Tư Văn Đầu tư,- Công ty Cổ phần Xây dựng và Tư Văn Đầu tư,Công ty liên kết,287.091.000,287.091.000,,287091000.0,287091000.0
- Xí nghiệp LD Việt Xô NCKH và SX Thực nghiệm Cao su,- Xí nghiệp LD Việt Xô NCKH và SX Thực nghiệm Cao su,- Xí nghiệp LD Việt Xô NCKH và SX Thực nghiệm Cao su,Công ty liên doanh,-,4.050.422.837,,,4050422837.0
