row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
1,1,1,2,3,4,5,2.0,3.0,4.0,5.0
D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,D - VỐN CHỦ SỞ HỮU,400,,45.202.279.722.550,43.297.142.328.404,400.0,,45202279722550.0,43297142328404.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,V.15,45.044.167.053.504,43.130.146.435.651,410.0,,45044167053504.0,43130146435651.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,26.141.117.039.011,26.166.499.106.975,411.0,,26141117039011.0,26166499106975.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,119.699.083.398,119.703.071.188,412.0,,119699083398.0,119703071188.0
3. Quyền chọn chuyển đổi trái phiếu,3. Quyền chọn chuyển đổi trái phiếu,3. Quyền chọn chuyển đổi trái phiếu,413,,0,0,413.0,,0.0,0.0
4. Vốn khác của chủ sở hữu,4. Vốn khác của chủ sở hữu,4. Vốn khác của chủ sở hữu,414,,14.052.024.091,10.591.025.501,414.0,,14052024091.0,10591025501.0
5. Cổ phiếu quỹ (*),5. Cổ phiếu quỹ (*),5. Cổ phiếu quỹ (*),415,,(171.976.764.660),(171.718.432.060),415.0,,-171976764660.0,-171718432060.0
6. Chênh lệch đánh giá lại tài sản,6. Chênh lệch đánh giá lại tài sản,6. Chênh lệch đánh giá lại tài sản,416,,0,0,416.0,,0.0,0.0
7. Chênh lệch tỷ giá hối đoái,7. Chênh lệch tỷ giá hối đoái,7. Chênh lệch tỷ giá hối đoái,417,,1.297.684.307.305,833.834.196.666,417.0,,1297684307305.0,833834196666.0
8. Quỹ đầu tư phát triển,8. Quỹ đầu tư phát triển,8. Quỹ đầu tư phát triển,418,,6.952.536.781.356,6.437.295.628.830,418.0,,6952536781356.0,6437295628830.0
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,9. Quỹ hỗ trợ sắp xếp doanh nghiệp,419,,27.981.071.708,983.512.774,419.0,,27981071708.0,983512774.0
10. Quỹ khác thuộc vốn chủ sở hữu,10. Quỹ khác thuộc vốn chủ sở hữu,10. Quỹ khác thuộc vốn chủ sở hữu,420,,223.814.307.180,187.050.391.780,420.0,,223814307180.0,187050391780.0
11. Lợi nhuận sau thuế chưa phân phối,11. Lợi nhuận sau thuế chưa phân phối,11. Lợi nhuận sau thuế chưa phân phối,421,,1.672.649.222.890,913.060.803.645,421.0,,1672649222890.0,913060803645.0
- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,- LNST chưa phân phối lũy kế đến cuối kỳ trước,421a,,(232.369.677.309),(517.618.423.557),,,-232369677309.0,-517618423557.0
- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,- LNST chưa phân phối kỳ này,421b,,1.905.018.900.199,1.430.679.227.202,,,1905018900199.0,1430679227202.0
12. Nguồn vốn đầu tư XDCB,12. Nguồn vốn đầu tư XDCB,12. Nguồn vốn đầu tư XDCB,422,,4.662.727.365.692,4.673.747.832.229,422.0,,4662727365692.0,4673747832229.0
13. Lợi ích cổ đông không kiểm soát,13. Lợi ích cổ đông không kiểm soát,13. Lợi ích cổ đông không kiểm soát,429,,4.103.882.615.533,3.959.099.298.123,429.0,,4103882615533.0,3959099298123.0
II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,430,V.16,158.112.669.046,166.995.892.753,430.0,,158112669046.0,166995892753.0
1. Nguồn kinh phí,1. Nguồn kinh phí,1. Nguồn kinh phí,431,,(46.637.469.123),(43.188.313.730),431.0,,-46637469123.0,-43188313730.0
2. Nguồn kinh phí đã hình thành TSCĐ,2. Nguồn kinh phí đã hình thành TSCĐ,2. Nguồn kinh phí đã hình thành TSCĐ,432,,204.750.138.169,210.184.206.483,432.0,,204750138169.0,210184206483.0
TỔNG CỘNG NGUỒN VỐN (440 = 400 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 400 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 400 + 400),440,,69.802.562.338.467,66.667.654.097.203,440.0,,69802562338467.0,66667654097203.0
