row_label_raw,row_label_full,Mã số,Chỉ tiêu,Thuyết minh,Năm nay,Năm trước,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
(1),(1),(1),(2),(3),(4),(5),-2.0,-3.0,-4.0,-5.0
1,1,1,1. Doanh thu bán hàng và cung cấp dịch vụ,VI.01,20.059.645.304.952,15.576.068.392.081,,,20059645304952.0,15576068392081.0
2,2,2,2. Các khoản giảm trừ doanh thu,VI.02,11.903.136.575,31.122.123.770,,,11903136575.0,31122123770.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,VI.03,20.047.742.168.377,15.544.946.268.311,,,20047742168377.0,15544946268311.0
11,11,11,4. Giá vốn hàng bán,VI.04,14.801.328.668.523,12.172.741.077.945,,,14801328668523.0,12172741077945.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,5.246.413.499.854,3.372.205.190.366,,,5246413499854.0,3372205190366.0
21,21,21,6. Doanh thu hoạt động tài chính,VI.05,571.194.206.640,538.914.072.693,,,571194206640.0,538914072693.0
22,22,22,7. Chỉ phí tài chính,VI.06,706.355.684.903,519.558.830.595,,,706355684903.0,519558830595.0
23,23,23,Trong đó: Chỉ phí lãi vay,,579.720.150.221,465.340.643.592,,,579720150221.0,465340643592.0
24,24,24,"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",VI.07,312.704.907.558,378.385.493.501,,,312704907558.0,378385493501.0
25,25,25,9. Chỉ phí bán hàng,VI.08,418.234.091.349,335.683.096.759,,,418234091349.0,335683096759.0
26,26,26,10. Chỉ phí quản lý doanh nghiệp,VI.09,1.525.696.348.414,1.215.470.251.391,,,1525696348414.0,1215470251391.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,3.480.026.489.386,2.218.792.577.815,,,3480026489386.0,2218792577815.0
31,31,31,12. Thu nhập khác,VI.10,1.458.283.648.870,1.165.094.287.643,,,1458283648870.0,1165094287643.0
32,32,32,13. Chỉ phí khác,VI.11,230.771.493.621,113.120.819.421,,,230771493621.0,113120819421.0
40,40,40,14. Lợi nhuận khác,,1.227.512.155.249,1.051.973.468.222,,,1227512155249.0,1051973468222.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,4.707.538.644.635,3.270.766.046.037,,,4707538644635.0,3270766046037.0
51,51,51,16. Chỉ phí thuế TNDN hiện hành,VI.12,759.314.163.335,460.649.768.624,,,759314163335.0,460649768624.0
52,52,52,17. Chỉ phí thuế TNDN hoãn lại,VI.13,12.417.156.908,13.512.905.213,,,12417156908.0,13512905213.0
60,60,60,18. Lợi nhuận sau thuế thu nhập doanh nghiệp,,3.935.807.324.392,2.796.603.372.200,,,3935807324392.0,2796603372200.0
61,61,61,19. Lợi nhuận sau thuế của công ty mẹ,,3.477.775.673.159,2.488.662.901.179,,,3477775673159.0,2488662901179.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,458.031.651.233,307.940.471.021,,,458031651233.0,307940471021.0
