row_label_raw,row_label_full,13. Bất động sản đầu tư,01/01/2019,Năm 2019 > Tăng,Năm 2019 > Giảm,31/12/2019,numeric__01/01/2019,numeric__Năm 2019 > Tăng,numeric__Năm 2019 > Giảm,numeric__31/12/2019
a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,1.183.252.881.783,162.054.526.555,0,1.345.307.408.338,1183252881783.0,162054526555.0,0.0,1345307408338.0
Nguyên giá,Nguyên giá,Nguyên giá,1.574.310.043.433,250.174.986.394,0,1.824.485.029.827,1574310043433.0,250174986394.0,0.0,1824485029827.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,242.026.264.360,0,0,242.026.264.360,242026264360.0,0.0,0.0,242026264360.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.332.283.779.073,250.174.986.394,0,1.582.458.765.467,1332283779073.0,250174986394.0,0.0,1582458765467.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,391.057.161.650,88.120.459.839,0,479.177.621.489,391057161650.0,88120459839.0,0.0,479177621489.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,72.532.780.363,0,,72.532.780.363,72532780363.0,0.0,,72532780363.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,318.524.381.287,88.120.459.839,,406.644.841.126,318524381287.0,88120459839.0,,406644841126.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,1.183.252.881.783,162.054.526.555,0,1.345.307.408.338,1183252881783.0,162054526555.0,0.0,1345307408338.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,169.493.483.997,0,0,169.493.483.997,169493483997.0,0.0,0.0,169493483997.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.013.759.397.786,162.054.526.555,0,1.175.813.924.341,1013759397786.0,162054526555.0,0.0,1175813924341.0
