row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Số dư đầu kỳ trước,Số dư đầu kỳ trước,Số dư đầu kỳ trước,40.000.000.000.000,384.238.385.077,2.963.374.406.880,43.347.612.791.957,40000000000000.0,384238385077.0,2963374406880.0,43347612791957.0
Lãi trong kỳ trước,Lãi trong kỳ trước,Lãi trong kỳ trước,-,-,2.334.160.086.103,2.334.160.086.103,,,2334160086103.0,2334160086103.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,547.252.406.880,(547.252.406.880),-,,547252406880.0,-547252406880.0,
Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,Trích quỹ Khen thưởng phúc lợi,-,-,(15.309.000.000),(15.309.000.000),,,-15309000000.0,-15309000000.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,(2.400.000.000.000),(2.400.000.000.000),,,-2400000000000.0,-2400000000000.0
Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,Trích quỹ khen thưởng Ban điều hành,-,-,(813.000.000),(813.000.000),,,-813000000.0,-813000000.0
Số dư cuối kỳ trước,Số dư cuối kỳ trước,Số dư cuối kỳ trước,40.000.000.000.000,931.490.791.957,2.334.160.086.103,43.265.650.878.060,40000000000000.0,931490791957.0,2334160086103.0,43265650878060.0
Số dư đầu kỳ này,Số dư đầu kỳ này,Số dư đầu kỳ này,40.000.000.000.000,931.490.791.957,2.334.160.086.103,43.265.650.878.060,40000000000000.0,931490791957.0,2334160086103.0,43265650878060.0
Lãi trong kỳ này,Lãi trong kỳ này,Lãi trong kỳ này,-,-,1.730.644.046.924,1.730.644.046.924,,,1730644046924.0,1730644046924.0
Trích lập Quỹ đầu tư phát triển (*),Trích lập Quỹ đầu tư phát triển (*),Trích lập Quỹ đầu tư phát triển (*),-,677.751.886.103,(677.751.886.103),-,,677751886103.0,-677751886103.0,
Trích quỹ Khen thưởng phúc lợi (*),Trích quỹ Khen thưởng phúc lợi (*),Trích quỹ Khen thưởng phúc lợi (*),-,-,(15.309.000.000),(15.309.000.000),,,-15309000000.0,-15309000000.0
Trích quỹ Khen thưởng Ban điều hành (*),Trích quỹ Khen thưởng Ban điều hành (*),Trích quỹ Khen thưởng Ban điều hành (*),-,-,(1.099.200.000),(1.099.200.000),,,-1099200000.0,-1099200000.0
Chia trả cổ tức (*),Chia trả cổ tức (*),Chia trả cổ tức (*),-,-,(1.640.000.000.000),(1.640.000.000.000),,,-1640000000000.0,-1640000000000.0
Số dư cuối kỳ này,Số dư cuối kỳ này,Số dư cuối kỳ này,40.000.000.000.000,1.609.242.678.060,1.730.644.046.924,43.339.886.724.984,40000000000000.0,1609242678060.0,1730644046924.0,43339886724984.0
