row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2022(sau điều chỉnh),Năm 2022(trước điều chỉnh),Chênh lệch,numeric__Mã số,numeric__Năm 2022(sau điều chỉnh),numeric__Năm 2022(trước điều chỉnh),numeric__Chênh lệch
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1,25.475.298.231.163,25.483.889.270.011,(8.591.038.848),1.0,25475298231163.0,25483889270011.0,-8591038848.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2,53.896.946.040,57.945.657.941,(4.048.711.901),2.0,53896946040.0,57945657941.0,-4048711901.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (01 - 02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (01 - 02),10,25.421.401.285.123,25.425.943.612.070,(4.542.326.947),10.0,25421401285123.0,25425943612070.0,-4542326947.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,19.031.442.351.474,19.083.830.556.212,(52.388.204.738),11.0,19031442351474.0,19083830556212.0,-52388204738.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (10 - 11),20,6.389.958.933.649,6.342.113.055.858,47.845.877.791,20.0,6389958933649.0,6342113055858.0,47845877791.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,894.185.343.656,885.462.783.210,8.722.560.446,21.0,894185343656.0,885462783210.0,8722560446.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,693.655.051.039,696.015.303.251,(2.360.252.212),22.0,693655051039.0,696015303251.0,-2360252212.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,490.848.598.668,490.848.598.668,-,23.0,490848598668.0,490848598668.0,
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,203.589.622.831,203.589.622.831,-,24.0,203589622831.0,203589622831.0,
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,592.312.872.341,591.230.197.005,1.082.675.336,25.0,592312872341.0,591230197005.0,1082675336.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,1.756.840.052.036,1.762.820.187.016,(5.980.134.980),26.0,1756840052036.0,1762820187016.0,-5980134980.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (20+21-22+24-25-26),11. Lợi nhuận thuần từ hoạt động kinh doanh (20+21-22+24-25-26),11. Lợi nhuận thuần từ hoạt động kinh doanh (20+21-22+24-25-26),30,4.444.925.924.720,4.381.099.774.627,63.826.150.093,30.0,4444925924720.0,4381099774627.0,63826150093.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,1.818.655.064.604,1.793.484.267.865,25.170.796.739,31.0,1818655064604.0,1793484267865.0,25170796739.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,495.400.936.905,472.964.711.548,22.436.225.357,32.0,495400936905.0,472964711548.0,22436225357.0
14. Lợi nhuận khác (31 - 32),14. Lợi nhuận khác (31 - 32),14. Lợi nhuận khác (31 - 32),40,1.323.254.127.699,1.320.519.556.317,2.734.571.382,40.0,1323254127699.0,1320519556317.0,2734571382.0
15. Tổng lợi nhuận kế toán trước thuế (30+40),15. Tổng lợi nhuận kế toán trước thuế (30+40),15. Tổng lợi nhuận kế toán trước thuế (30+40),50,5.768.180.052.419,5.701.619.330.944,66.560.721.475,50.0,5768180052419.0,5701619330944.0,66560721475.0
16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,16. Chi phí thuế TNDN hiện hành,51,936.903.046.284,921.231.942.328,15.671.103.956,51.0,936903046284.0,921231942328.0,15671103956.0
17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,17. Chi phí thuế TNDN hoãn lại,52,27.128.098.390,27.128.098.390,-,52.0,27128098390.0,27128098390.0,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (50-51-52),60,4.804.148.907.745,4.753.259.290.226,50.889.617.519,60.0,4804148907745.0,4753259290226.0,50889617519.0
19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,19. Lợi nhuận sau thuế của công ty mẹ,61,3.881.881.209.633,3.838.821.072.307,43.060.137.326,61.0,3881881209633.0,3838821072307.0,43060137326.0
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,922.267.698.112,914.438.217.919,7.829.480.193,62.0,922267698112.0,914438217919.0,7829480193.0
