row_label_raw,row_label_full,01. Doanh thu bán hàng và cung cấp dịch vụ,Năm 2024,Năm 2023,numeric__Năm 2024,numeric__Năm 2023
- Doanh thu sản xuất và kinh doanh mủ cao su,- Doanh thu sản xuất và kinh doanh mủ cao su,- Doanh thu sản xuất và kinh doanh mủ cao su,20.380.976.879.748,16.818.510.922.613,20380976879748.0,16818510922613.0
- Doanh thu sản xuất và kinh doanh các sản phẩm từ cao su,- Doanh thu sản xuất và kinh doanh các sản phẩm từ cao su,- Doanh thu sản xuất và kinh doanh các sản phẩm từ cao su,820.050.999.272,463.839.613.275,820050999272.0,463839613275.0
- Doanh thu chế biến gỗ,- Doanh thu chế biến gỗ,- Doanh thu chế biến gỗ,2.087.073.224.244,2.363.231.642.697,2087073224244.0,2363231642697.0
"- Doanh thu kinh doanh bất động sản, cơ sở hạ tầng","- Doanh thu kinh doanh bất động sản, cơ sở hạ tầng","- Doanh thu kinh doanh bất động sản, cơ sở hạ tầng",741.714.023.713,813.653.067.604,741714023713.0,813653067604.0
- Doanh thu dịch vụ duy tu bảo dưỡng hạ tầng KCN,- Doanh thu dịch vụ duy tu bảo dưỡng hạ tầng KCN,- Doanh thu dịch vụ duy tu bảo dưỡng hạ tầng KCN,44.909.631.009,21.740.392.009,44909631009.0,21740392009.0
"- Doanh thu dịch vụ kinh doanh điện, nước","- Doanh thu dịch vụ kinh doanh điện, nước","- Doanh thu dịch vụ kinh doanh điện, nước",78.176.443.181,72.900.357.226,78176443181.0,72900357226.0
"- Doanh thu dịch vụ du lịch, nhà hàng, khách sạn","- Doanh thu dịch vụ du lịch, nhà hàng, khách sạn","- Doanh thu dịch vụ du lịch, nhà hàng, khách sạn",500.000.000,663.720.540,500000000.0,663720540.0
- Doanh thu từ kinh doanh điện năng,- Doanh thu từ kinh doanh điện năng,- Doanh thu từ kinh doanh điện năng,552.247.204.380,587.551.446.908,552247204380.0,587551446908.0
- Doanh thu bán hàng hóa và cung cấp dịch vụ khác,- Doanh thu bán hàng hóa và cung cấp dịch vụ khác,- Doanh thu bán hàng hóa và cung cấp dịch vụ khác,1.561.368.327.349,1.025.673.652.071,1561368327349.0,1025673652071.0
Cộng,Cộng,Cộng,26.267.016.732.896,22.167.764.814.943,26267016732896.0,22167764814943.0
02. Các khoản giảm trừ doanh thu,02. Các khoản giảm trừ doanh thu,02. Các khoản giảm trừ doanh thu,Năm 2024,Năm 2023,,
