row_label_raw,row_label_full,Code,RESOURCES,Notes,Unit: VND,Unit: VND_1,numeric__RESOURCES,numeric__Notes,numeric__Unit: VND,numeric__Unit: VND_1
Code,Code,Code,RESOURCES,Notes,31/12/2024,01/01/2024,,,,
400,400,400,D. OWNERS' EQUITY,V.24,"58,397,162,212,108","54,977,202,916,058",,,,
410,410,410,I. Capital,,"58,343,704,981,056","54,936,297,729,629",,,,
411,411,411,1. Share capital,,"40,000,000,000,000","40,000,000,000,000",,,,
411a,411a,411a,- Ordinary shares with voting rights,,"40,000,000,000,000","40,000,000,000,000",,,,
412,412,412,2. Share premium,,"325,832,755,422","325,832,755,422",,,,
414,414,414,3. Other owners'capital,,"10,591,031,002","10,591,031,002",,,,
415,415,415,4. Treasury shares,,"(959,534,010)","(959,534,010)",,,,
416,416,416,5. Differences upon asset revaluation,,"(1,574,186,166,104)","(1,574,186,166,104)",,,,
417,417,417,6. Foreign exchange differences,,"1,348,954,014,686","460,661,081,422",,,,
418,418,418,7. Investment and development funds,,"6,577,606,883,132","5,408,494,473,494",,,,
420,420,420,8. Other funds belonging to owners'equity,,"252,909,421","252,909,421",,,,
421,421,421,9. Undistributed earnings,,"6,240,538,555,065","5,187,395,112,271",,,,
421a,421a,421a,- Undistributed earnings by the end of prior year,,"2,251,821,936,583","2,564,219,921,978",,,,
421b,421b,421b,- Undistributed earnings of current period,,"3,988,716,618,482","2,623,175,190,293",,,,
429,429,429,10. Non-controlling interests,,"5,415,074,532,442","5,118,216,066,711",,,,
430,430,430,II. Budget sources and other funds,V.25,"53,457,231,052","40,905,186,429",,,,
431,431,431,1. Budget sources,,"(33,823,318,791)","(53,804,697,590)",,,,
432,432,432,2. Funds that form fixed assets,,"87,280,549,843","94,709,884,019",,,,
440,440,440,TOTAL LIABILITIES AND OWNERS'EQUITY,,"83,383,682,512,004","78,062,093,620,098",,,,
