row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Đơn vị tính: VND > 31/12/2024,Đơn vị tính: VND > 01/01/2024,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Đơn vị tính: VND > 31/12/2024,numeric__Đơn vị tính: VND > 01/01/2024
100,100,100,A. TÀI SẢN NGĂN HẠN,,27.670.285.917.606,23.842.248.926.140,,,27670285917606.0,23842248926140.0
110,110,110,I. Tiền và các khoản tương đương tiền,V.01,5.778.855.663.194,5.564.089.010.514,,,5778855663194.0,5564089010514.0
111,111,111,1. Tiền,,3.017.617.559.937,2.334.647.911.242,,,3017617559937.0,2334647911242.0
112,112,112,2. Các khoản tương đương tiền,,2.761.238.103.257,3.229.441.099.272,,,2761238103257.0,3229441099272.0
120,120,120,II. Đầu tư tài chính ngắn hạn,V.02,13.952.353.795.617,11.355.359.823.009,,,13952353795617.0,11355359823009.0
121,121,121,1. Chứng khoán kinh doanh,,1.163.634.161,1.163.634.161,,,1163634161.0,1163634161.0
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh (*),,(68.237.000),(68.237.000),,,-68237000.0,-68237000.0
123,123,123,3. Đầu tư nắm giữ đến ngày đáo hạn,,13.951.258.398.456,11.354.264.425.848,,,13951258398456.0,11354264425848.0
130,130,130,III. Các khoản phải thu ngắn hạn,,2.539.074.723.889,2.546.020.285.787,,,2539074723889.0,2546020285787.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,V.03,1.548.547.265.059,1.431.437.222.156,,,1548547265059.0,1431437222156.0
132,132,132,2. Trả trước cho người bán ngắn hạn,V.04,354.480.392.462,429.506.912.582,,,354480392462.0,429506912582.0
135,135,135,3. Phải thu về cho vay ngắn hạn,V.05,8.048.249.000,8.048.249.000,,,8048249000.0,8048249000.0
136,136,136,4. Phải thu ngắn hạn khác,V.06,916.345.560.357,922.609.139.120,,,916345560357.0,922609139120.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi (*),,(355.597.946.855),(312.530.530.881),,,-355597946855.0,-312530530881.0
139,139,139,6. Tài sản thiếu chờ xử lý,V.07.01,67.251.203.866,66.949.293.810,,,67251203866.0,66949293810.0
140,140,140,IV. Hàng tồn kho,V.08,4.351.510.470.326,3.360.240.302.718,,,4351510470326.0,3360240302718.0
141,141,141,1. Hàng tồn kho,,4.373.924.132.656,3.388.137.574.911,,,4373924132656.0,3388137574911.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho (*),,(22.413.662.330),(27.897.272.193),,,-22413662330.0,-27897272193.0
150,150,150,V. Tài sản ngắn hạn khác,,1.048.491.264.580,1.016.539.504.112,,,1048491264580.0,1016539504112.0
151,151,151,1. Chi phí trả trước ngắn hạn,V.09,77.300.511.797,69.180.592.590,,,77300511797.0,69180592590.0
152,152,152,2. Thuế GTGT được khấu trừ,,566.535.714.641,527.300.614.290,,,566535714641.0,527300614290.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,V.10,404.655.038.142,420.058.297.232,,,404655038142.0,420058297232.0
