row_label_raw,row_label_full,col_0,col_1,31/12/2024,31/12/2024_1,01/01/2024,01/01/2024_1,numeric__col_1,numeric__31/12/2024,numeric__31/12/2024_1,numeric__01/01/2024,numeric__01/01/2024_1
,,,,Value,Provision,Value,Provision,,,,,
,,,,VND,VND,VND,VND,,,,,
a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,a) Short-term,,,,,
Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,"1,100,142,508,716","(14,723,218,660)","1,310,205,229,791","(12,168,944,713)",,,,,
-,-,-,Capital advance receivables,"6,922,169,876",-,"6,922,169,876",-,,,,,
-,-,-,Exporting goods under consignment receivables,-,-,"8,867,695,853",-,,,,,
-,-,-,"Receivables from dividends, distributed profits","117,144,000,000","(8,752,000,000)","158,016,272,303","(8,752,000,000)",,,,,
-,-,-,Receivables from interest income,"65,174,241,222","(5,712,841,289)","48,070,868,767","(3,416,944,713)",,,,,
-,-,-,Interest from AFD lendings,"2,050,657,742","(258,377,371)","2,317,948,835",-,,,,,
-,-,-,Receivables from centralized profit,"757,576,415,487",-,"962,748,011,701",-,,,,,
-,-,-,Advances,"1,838,856,649",-,"1,196,256,649",-,,,,,
-,-,-,Mortgages,"41,653,761,551",-,"33,145,115,907",-,,,,,
-,-,-,Others,"107,782,406,189",-,"88,920,889,900",-,,,,,
"Other receivables of Vietnam Rubber Finance One member Co., Ltd","Other receivables of Vietnam Rubber Finance One member Co., Ltd","Other receivables of Vietnam Rubber Finance One member Co., Ltd","Other receivables of Vietnam Rubber Finance One member Co., Ltd","5,730,685,812",-,"5,527,838,671",-,,,,,
-,-,-,Receivable from the State Bank of Vietnam relating to interest rate support,"2,697,168,577",-,"2,697,168,577",-,,,,,
-,-,-,Receivable from advance for debt handling fees,"1,651,273,441",-,"1,448,426,300",-,,,,,
-,-,-,Others,"1,382,243,794",-,"1,382,243,794",-,,,,,
,,,,"1,105,873,194,528","(14,723,218,660)","1,315,733,068,462","(12,168,944,713)",,,,,
b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,b) Long-term,,,,,
Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,Other receivables of Group's headquater,,,,,
-,-,-,Receivable from advance of investment capital,"2,304,428,216,562",-,"2,347,206,871,679",-,,,,,
-,-,-,Receivable from advance of business capital,"3,200,000,000",-,"4,800,000,000",-,,,,,
,,,,"2,307,628,216,562",-,"2,352,006,871,679",-,,,,,
c) In which: Other receivables from related parties(Detailed as in Note No. 35),c) In which: Other receivables from related parties(Detailed as in Note No. 35),c) In which: Other receivables from related parties(Detailed as in Note No. 35),c) In which: Other receivables from related parties(Detailed as in Note No. 35),"3,300,146,977,817","(4,315,818,951)","3,573,631,866,335","(1,761,545,004)",,,,,
