row_label_raw,row_label_full,Tên ngân hàng,Số cuối năm,Ngân VND Số đầu năm,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
"Ngân Hàng TMCP Tiên Phong (""TPbank"") (*)","Ngân Hàng TMCP Tiên Phong (""TPbank"") (*)","Ngân Hàng TMCP Tiên Phong (""TPbank"") (*)",2.962.524.517,3.155.600.000,2962524517.0,3155600000.0
"Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (""BIDV"")","Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (""BIDV"")","Ngân hàng TMCP Đầu tư và Phát triển Việt Nam (""BIDV"")",3.778.546.313,2.868.532.269,3778546313.0,2868532269.0
"Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"") - Chi nhánh Attapeu","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"") - Chi nhánh Attapeu","Ngân hàng Liên doanh Lào Việt (""Ngân hàng Lào - Việt"") - Chi nhánh Attapeu",1.391.677.219,1.397.191.001,1391677219.0,1397191001.0
"Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"")","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"")","Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh (""HDBank"")",1.341.912.616,937.322.850,1341912616.0,937322850.0
"Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"")","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"")","Ngân hàng TMCP Sài Gòn Thương Tín (""Sacombank"")",994.082.604,1.208.568.105,994082604.0,1208568105.0
"Ngân hàng TMCP Á Châu (""ACB"") - Chi nhánh Gia Lai","Ngân hàng TMCP Á Châu (""ACB"") - Chi nhánh Gia Lai","Ngân hàng TMCP Á Châu (""ACB"") - Chi nhánh Gia Lai",-,178.581.238,,178581238.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,10.468.743.269,9.745.795.463,10468743269.0,9745795463.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,9.620.720.418,8.551.446.715,9620720418.0,8551446715.0
Vay dài hạn ngân hàng đến hạn trả,Trong đó: > Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,848.022.851,1.194.348.748,848022851.0,1194348748.0
