row_label_raw,row_label_full,Tên công ty con,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu (%),numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu (%)
Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,,,
(31)Công ty Cổ phần Cao su Trung Nguyên,Lĩnh vực khai khoáng > (31)Công ty Cổ phần Cao su Trung Nguyên,(31)Công ty Cổ phần Cao su Trung Nguyên,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"74,96",,,74.96
(32)Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,Lĩnh vực khai khoáng > (32)Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,(32)Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,"Tỉnh Gia Lai, Việt Nam",Ngưng hoạt động,"99,40",,,99.4
(33)Công ty TNHH MTV Khoáng sản Hoàng Anh GL - Kon Tum,Lĩnh vực khai khoáng > (33)Công ty TNHH MTV Khoáng sản Hoàng Anh GL - Kon Tum,(33)Công ty TNHH MTV Khoáng sản Hoàng Anh GL - Kon Tum,"Tỉnh Kontum, Việt Nam",Ngưng hoạt động,"99,40",,,99.4
(34)Công ty TNHH Khoáng sản Hoàng Anh Xêkông,Lĩnh vực khai khoáng > (34)Công ty TNHH Khoáng sản Hoàng Anh Xêkông,(34)Công ty TNHH Khoáng sản Hoàng Anh Xêkông,"Tỉnh Attapeu, Lào",Ngưng hoạt động,"99,40",,,99.4
"Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ","Lĩnh vực xây dựng, kinh doanh và dịch vụ",,,
(35)Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (35)Công ty Cổ phần Thể thao Hoàng Anh Gia Lai",(35)Công ty Cổ phần Thể thao Hoàng Anh Gia Lai,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"69,85",,,69.85
(36)Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (36)Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai",(36)Công ty Cổ phần Bệnh viện Hoàng Anh Gia Lai,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"99,00",,,99.0
(37)Công ty TNHH V&H Corporation (Lào),"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (37)Công ty TNHH V&H Corporation (Lào)",(37)Công ty TNHH V&H Corporation (Lào),"Viên Chăn, Lào",Trước hoạt động,"80,00",,,80.0
(38)Công ty TNHH V&H Corporation,"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (38)Công ty TNHH V&H Corporation",(38)Công ty TNHH V&H Corporation,"Viên Chăn, Lào",Trước hoạt động,"100,00",,,100.0
(39)Công ty TNHH Hoàng Anh Gia Lai Vientiane,"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (39)Công ty TNHH Hoàng Anh Gia Lai Vientiane",(39)Công ty TNHH Hoàng Anh Gia Lai Vientiane,"Viên Chăn, Lào",Trước hoạt động,"100,00",,,100.0
(40)Công ty Cổ phần Quản lý Bất Động sản và Khách sạn Hoàng Anh Gia Lai,"Lĩnh vực xây dựng, kinh doanh và dịch vụ > (40)Công ty Cổ phần Quản lý Bất Động sản và Khách sạn Hoàng Anh Gia Lai",(40)Công ty Cổ phần Quản lý Bất Động sản và Khách sạn Hoàng Anh Gia Lai,"TP. Đà Nẵng, Việt Nam",Đang hoạt động,"94,50",,,94.5
