row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,2.091.833.174,5.388.200.400,2091833174.0,5388200400.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,1.290.876.230,2.897.277.177,1290876230.0,2897277177.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,341.922.012,345.077.184,341922012.0,345077184.0
"Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Trong đó: > Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)",234.260.834,406.544.334,234260834.0,406544334.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,185.196.895,470.270.787,185196895.0,470270787.0
Doanh thu bán ót,Trong đó: > Doanh thu bán ót,Doanh thu bán ót,38.704.084,513.949.664,38704084.0,513949664.0
Doanh thu bán tiêu,Trong đó: > Doanh thu bán tiêu,Doanh thu bán tiêu,873.119,38.214.271,873119.0,38214271.0
Doanh thu từ dịch vụ cho thuê,Trong đó: > Doanh thu từ dịch vụ cho thuê,Doanh thu từ dịch vụ cho thuê,-,509.461.750,,509461750.0
Doanh thu bán bỏ,Trong đó: > Doanh thu bán bỏ,Doanh thu bán bỏ,-,126.827.550,,126827550.0
Doanh thu bất động sản đầu tư,Trong đó: > Doanh thu bất động sản đầu tư,Doanh thu bất động sản đầu tư,-,57.910.339,,57910339.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,-,22.667.344,,22667344.0
Khoản giảm trừ,Trong đó: > Khoản giảm trừ,Khoản giảm trừ,(16.389.150),-,-16389150.0,
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(16.389.150),-,-16389150.0,
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,2.075.444.024,5.388.200.400,2075444024.0,5388200400.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán trái cây,Trong đó: > Doanh thu bán trái cây,Doanh thu bán trái cây,1.275.351.600,2.897.277.177,1275351600.0,2897277177.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,341.922.012,345.077.184,341922012.0,345077184.0
"Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Trong đó: > Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)","Doanh thu từ cung cấp dịch vụ khác(bệnh viện, khách sạn, quảng cáo, v.v.)",234.260.834,406.544.334,234260834.0,406544334.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,184.332.375,470.270.787,184332375.0,470270787.0
Doanh thu bán ót,Trong đó: > Doanh thu bán ót,Doanh thu bán ót,38.704.084,513.949.664,38704084.0,513949664.0
Doanh thu bán tiêu,Trong đó: > Doanh thu bán tiêu,Doanh thu bán tiêu,873.119,38.214.271,873119.0,38214271.0
Doanh thu từ dịch vụ cho thuê,Trong đó: > Doanh thu từ dịch vụ cho thuê,Doanh thu từ dịch vụ cho thuê,-,509.461.750,,509461750.0
Doanh thu bán bỏ,Trong đó: > Doanh thu bán bỏ,Doanh thu bán bỏ,-,126.827.550,,126827550.0
Doanh thu bất động sản đầu tư,Trong đó: > Doanh thu bất động sản đầu tư,Doanh thu bất động sản đầu tư,-,57.910.339,,57910339.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,-,22.667.344,,22667344.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên liên quan,Trong đó: > Doanh thu thuần với các bên liên quan,Doanh thu thuần với các bên liên quan,12.047.940,29.832.490,12047940.0,29832490.0
Doanh thu thuần với các bên khác,Trong đó: > Doanh thu thuần với các bên khác,Doanh thu thuần với các bên khác,2.063.396.084,5.358.367.910,2063396084.0,5358367910.0
