row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
100,100,100,A. TÀI SẢN NGÁN HẠN,,7.051.853.577,8.930.375.455,,,7051853577.0,8930375455.0
110,110,110,I. Tiền,5,78.298.037,97.151.198,,5.0,78298037.0,97151198.0
111,111,111,1. Tiền,,78.298.037,97.151.198,,,78298037.0,97151198.0
130,130,130,II. Các khoản phải thu ngắn hạn,,6.535.652.693,6.410.638.635,,,6535652693.0,6410638635.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6,553.790.175,4.075.221.471,,6.0,553790175.0,4075221471.0
132,132,132,2. Trả trước cho người bán ngắn hạn,7,147.090.473,109.143.346,,7.0,147090473.0,109143346.0
135,135,135,3. Phải thu về cho vay ngắn hạn,8,6.516.258.180,4.186.477.204,,8.0,6516258180.0,4186477204.0
136,136,136,4. Phải thu ngắn hạn khác,9,785.572.698,563.738.589,,9.0,785572698.0,563738589.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,"6, 7, 8, 9",(1.467.058.833),(2.523.941.975),,,-1467058833.0,-2523941975.0
140,140,140,III. Hàng tồn kho,10,410.031.564,2.347.965.565,,10.0,410031564.0,2347965565.0
141,141,141,1. Hàng tồn kho,,413.734.969,2.423.112.551,,,413734969.0,2423112551.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(3.703.405),(75.146.986),,,-3703405.0,-75146986.0
150,150,150,IV. Tài sản ngắn hạn khác,,27.871.283,74.620.057,,,27871283.0,74620057.0
151,151,151,1. Chỉ phí trả trước ngắn hạn,17,7.124.641,11.353.928,,17.0,7124641.0,11353928.0
152,152,152,2. Thuế GTGT được khấu trừ,21,17.611.524,60.705.339,,21.0,17611524.0,60705339.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,21,3.135.118,2.560.790,,21.0,3135118.0,2560790.0
200,200,200,B. TÀI SẢN DÀI HẠN,,11.387.831.414,28.335.444.096,,,11387831414.0,28335444096.0
210,210,210,I. Các khoản phải thu dài hạn,,2.958.712.989,2.295.094.417,,,2958712989.0,2295094417.0
215,215,215,1. Phải thu về cho vay dài hạn,8,2.452.838.426,1.782.648.474,,8.0,2452838426.0,1782648474.0
216,216,216,2. Phải thu dài hạn khác,9,649.545.621,514.915.299,,9.0,649545621.0,514915299.0
219,219,219,3. Dự phòng phải thu dài hạn khó đòi,"8, 9",(143.671.058),(2.469.356),,,-143671058.0,-2469356.0
220,220,220,II. Tài sản cố định,,2.809.669.569,12.626.270.334,,,2809669569.0,12626270334.0
221,221,221,1. Tài sản cố định hữu hình,11,2.686.778.608,12.104.977.632,,11.0,2686778608.0,12104977632.0
222,222,222,Nguyên giá,,3.518.323.463,15.165.372.700,,,3518323463.0,15165372700.0
223,223,223,Giá trị khấu hao lũy kế,,(831.544.855),(3.060.395.068),,,-831544855.0,-3060395068.0
227,227,227,2. Tài sản cố định vô hình,12,122.890.961,521.292.702,,12.0,122890961.0,521292702.0
228,228,228,Nguyên giá,,145.540.126,550.664.610,,,145540126.0,550664610.0
229,229,229,Giá trị hao mòn lũy kế,,(22.649.165),(29.371.908),,,-22649165.0,-29371908.0
230,230,230,III. Bất động sản đầu tư,13,62.606.294,65.237.146,,13.0,62606294.0,65237146.0
231,231,231,1. Nguyên giá,,74.075.831,74.075.831,,,74075831.0,74075831.0
232,232,232,2. Giá trị khấu hao lũy kế,,(11.469.537),(8.838.685),,,-11469537.0,-8838685.0
240,240,240,IV. Tài sản dở dang dài hạn,,3.495.149.075,12.006.780.151,,,3495149075.0,12006780151.0
242,242,242,1. Chỉ phí xây dựng cơ bản dở dang,14,3.495.149.075,12.006.780.151,,14.0,3495149075.0,12006780151.0
250,250,250,V. Đầu tư tài chính dài hạn,16,1.778.826.680,277.318.516,,16.0,1778826680.0,277318516.0
252,252,252,1. Đầu tư vào các công ty liên kết,,-,266.193.865,,,,266193865.0
253,253,253,2. Đầu tư góp vốn vào các đơn vị khác,,1.781.156.721,11.124.651,,,1781156721.0,11124651.0
254,254,254,3. Dự phòng đầu tư tài chính dài hạn,,(2.330.041),-,,,-2330041.0,
260,260,260,VI. Tài sản dài hạn khác,,282.866.807,1.064.743.532,,,282866807.0,1064743532.0
261,261,261,1. Chỉ phí trả trước dài hạn,17,271.900.161,353.396.829,,17.0,271900161.0,353396829.0
262,262,262,2. Tài sản thuế thu nhập hoãn lại,33.2,10.966.646,85.724.272,,332.0,10966646.0,85724272.0
269,269,269,3. Lợi thế thương mại,18,-,625.622.431,,18.0,,625622431.0
270,270,270,TỔNG CỘNG TÀI SẢN,,18.439.684.991,37.265.819.551,,,18439684991.0,37265819551.0
