row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,317.277.378,1.414.093.688,317277378.0,1414093688.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,Trong đó: > - Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,- Công ty Cổ phần Thương mại Đầu tư Phát triển Do Holdings,59.671.882,-,59671882.0,
- Công ty Cổ phần Nông nghiệp Trường Hải,Trong đó: > - Công ty Cổ phần Nông nghiệp Trường Hải,- Công ty Cổ phần Nông nghiệp Trường Hải,-,292.855.814,,292855814.0
- Các nhà cung cấp khác,Trong đó: > - Các nhà cung cấp khác,- Các nhà cung cấp khác,257.605.496,1.121.237.874,257605496.0,1121237874.0
Phải trả người bán máy móc và thiết bị,Trong đó: > Phải trả người bán máy móc và thiết bị,Phải trả người bán máy móc và thiết bị,33.473.380,21.919.095,33473380.0,21919095.0
Phải trả nhà thầu xây dựng,Trong đó: > Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,8.728.257,31.852.961,8728257.0,31852961.0
Phải trả người bán khác,Trong đó: > Phải trả người bán khác,Phải trả người bán khác,-,6.171.141,,6171141.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,359.479.015,1.474.036.885,359479015.0,1474036885.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,220.748.397,1.356.262.115,220748397.0,1356262115.0
Phải trả các bên liên quan (TM số 34),Trong đó: > Phải trả các bên liên quan (TM số 34),Phải trả các bên liên quan (TM số 34),138.730.618,117.774.770,138730618.0,117774770.0
