row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí lãi vay,Ngắn hạn > Chi phí lãi vay,Chi phí lãi vay,2.552.949.571,1.958.542.747,2552949571.0,1958542747.0
Chi phí phát hành trái phiếu,Ngắn hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,15.908.108,15.908.108,15908108.0,15908108.0
Chi phí hoạt động,Ngắn hạn > Chi phí hoạt động,Chi phí hoạt động,10.050.838,4.253.660,10050838.0,4253660.0
Chi phí lãi HĐHTKD,Ngắn hạn > Chi phí lãi HĐHTKD,Chi phí lãi HĐHTKD,2.427.180,2.427.180,2427180.0,2427180.0
Khác,Ngắn hạn > Khác,Khác,10.723.635,-,10723635.0,
,,,2.592.059.332,1.981.131.695,2592059332.0,1981131695.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay,Dài hạn > Chi phí lãi vay,Chi phí lãi vay,490.236.779,653.649.038,490236779.0,653649038.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,3.082.296.111,2.634.780.733,3082296111.0,2634780733.0
