row_label_raw,row_label_full,Bên liên quan > Công ty Cổ phầnBAPI Hoàng AnhGia Lai,Mối quan hệ > Công ty con (đến ngày 13 tháng 1 năm 2023)Công ty liên kết (đến ngày 29 tháng 12 năm 2023),Giao dịch > Bán hàng hóa và cung cấp dịch vụMua hàng hóa,Năm nay > 218.5072.427,Ngàn VNDNăm trước > 224.358-,numeric__Mối quan hệ > Công ty con (đến ngày 13 tháng 1 năm 2023)Công ty liên kết (đến ngày 29 tháng 12 năm 2023),numeric__Giao dịch > Bán hàng hóa và cung cấp dịch vụMua hàng hóa,numeric__Năm nay > 218.5072.427,numeric__Ngàn VNDNăm trước > 224.358-
Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty TNHHMTV Phát triểnNông nghiệp ĐạiThắng,Công ty con,Lãi cho vayChi hộ,4.981.703859.132,4.047.501622.490,,,4981703859132.0,4047501622490.0
Công ty Cổ phầnThể thaoLPBank HoàngAnh Gia Lai,Công ty Cổ phầnThể thaoLPBank HoàngAnh Gia Lai,Công ty Cổ phầnThể thaoLPBank HoàngAnh Gia Lai,Công ty con,Cho mượnChi hộBán hàng hóa và cung cấp dịch vụMua hàng hóa và dịch vụ,1.720.000497.723489.5174.200,25.872.500500.524560.865-,,,1.7200004977234895e+22,
Cty TNHH Sản Xuất Bột mì,Cty TNHH Sản Xuất Bột mì,Cty TNHH Sản Xuất Bột mì,Công ty con,Chi hộ,1.589.237,-,,,1589237.0,
Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty Cổ phầnGỗ Hoàng AnhGia Lai,Công ty liên quan,Chi hộLãi cho vayCho vayBán hàng hóa và cung cấp dịch vụ,1.361.661--,-6.812.2912.000.00098.919,,,,-6.812291200000099e+18
Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Công ty TNHHMTV Phát triểnNông nghiệpKhăn Xay,Công ty con,Chi hộ,937.031,-,,,937031.0,
Công ty Cổ phầnThức ăn Gia súcTrà Bá,Công ty Cổ phầnThức ăn Gia súcTrà Bá,Công ty Cổ phầnThức ăn Gia súcTrà Bá,Công ty con,Chi hộ,673.824,-,,,673824.0,
Công ty Cổ phầnNông nghiệpQuốc tế HoàngAnh Gia Lai,Công ty Cổ phầnNông nghiệpQuốc tế HoàngAnh Gia Lai,Công ty Cổ phầnNông nghiệpQuốc tế HoàngAnh Gia Lai,Công ty có cùng thành viên HĐQT,Bán hàng hóa và cung cấp dịch vụ,1.091,1.846.282,,,1091.0,1846282.0
Ông ĐoànNguyên Đức,Ông ĐoànNguyên Đức,Ông ĐoànNguyên Đức,Chủ tịch HĐQT,Lãi cho vay,-,1.874.921,,,,1874921.0
Ông NguyễnKim Luân,Ông NguyễnKim Luân,Ông NguyễnKim Luân,Bên liên quan,Lãi cho vay,-,1.199.133,,,,1199133.0
Công ty Cổ phầnGỗ Hoàng AnhGia Lai - Chi nhánh Nhà Máy nhựa,Công ty Cổ phầnGỗ Hoàng AnhGia Lai - Chi nhánh Nhà Máy nhựa,Công ty Cổ phầnGỗ Hoàng AnhGia Lai - Chi nhánh Nhà Máy nhựa,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụ,-,515.619,,,,515619.0
