row_label_raw,row_label_full,Tên công ty con,Trụ sở chính,Hoạt động chính,Tình trạng,% sở hữu,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__Tình trạng,numeric__% sở hữu
Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Công ty Cổ phần Nhà Hòa Bình,Thành phố Hồ Chí Minh,Kinh doanh phát triển các dự án bất động sản,Đang hoạt động,"99,85",,,,99.85
Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Công ty TNHH MTV Xây dựng và Địa ốc Hòa Bình Hà Nội,Hà Nội,Xây dựng nhà các loại; hoàn thiện công trình xây dựng; xây dựng công trình đường bộ; chuẩn bị mặt bằng; lắp đặt hệ thống cấp thoát nước; trang trí nội thất và kinh doanh bất động sản,Ngưng hoạt động,"100,00",,,,100.0
Công ty Cổ phần Đầu tư và Phát triển Hòa Yên,Công ty Cổ phần Đầu tư và Phát triển Hòa Yên,Công ty Cổ phần Đầu tư và Phát triển Hòa Yên,Tính Phú Yên,Đầu tư các dự án xây dựng công trình giao thông,Đang hoạt động,"99,53",,,,99.53
Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Công ty Cổ phần Sản xuất và Trang trí Mộc Hòa Bình,Thành phố Hồ Chí Minh,"Sản xuất, mua bán, gia công và lắp đặt hàng mộc gia dụng, hàng trang trí nội thất",Đang hoạt động,"98,90",,,,98.9
Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Công ty TNHH MTV Máy Xây dựng Matec,Thành phố Hồ Chí Minh,Cho thuê máy móc cơ điện và thiết bị xây dựng,Đang hoạt động,"100,00",,,,100.0
Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Công ty TNHH Xây dựng Anh Huy,Thành phố Hồ Chí Minh,Trang trí nội thất; sản xuất vật liệu xây dựng (cửa nhóm); san lắp mặt bằng và mua bán vật tư xây dựng,Đang hoạt động,"99,55",,,,99.55
Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Công ty Cổ phần Xuất Nhập Khẩu Việt Ta,Thành phố Hồ Chí Minh,"Mua bán vật liệu xây dựng, hàng trang trí nội thất; xúc tiến thương mại; đại lý ký gồi hàng hóa; dịch vụ quảng cáo; lắp đặt và gia công hàng trang trí nội thất",Đang hoạt động,"58,20",,,,58.2
Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Công ty TNHH Sơn Hòa Bình,Thành phố Hồ Chí Minh,"Sản xuất, mua bán vật liệu xây dựng; và cung cấp dịch vụ trang trí nội thất",Đang hoạt động,"100,00",,,,100.0
Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Công ty Cổ phần Đầu tư Phát triển Hòa Bình Huế,Tỉnh Thừa Thiên Huế,Đầu tư xây dựng khu biệt thự nghĩ dưỡng cao cấp Le Royal An Nam,Ngưng hoạt động,"95,84",,,,95.84
Công ty Cổ phần Vị Tâm,Công ty Cổ phần Vị Tâm,Công ty Cổ phần Vị Tâm,Thành phố Hồ Chí Minh,Bán buôn và bán lẻ thực phẩm và đồ uống,Ngưng hoạt động,"71,05",,,,71.05
Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Thành phố Hồ Chí Minh,"Tư vấn xây dựng, khảo sát công trình, thiết kế kiến trúc công trình",Đang hoạt động,"74,67",,,,74.67
