row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phân mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phân mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm và số cuối năm,Nguyên giá > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,39.790.252.840,8.146.844.083,1.216.005.358,49.153.102.281,39790252840.0,8146844083.0,1216005358.0,49153102281.0
Trong đó:Đã hao mòn hết,Nguyên giá > Trong đó:Đã hao mòn hết,Trong đó:Đã hao mòn hết,-,1.446.566.265,299.322.858,1.745.889.123,,1446566265.0,299322858.0,1745889123.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,5.260.817.147,852.782.250,6.113.599.397,,5260817147.0,852782250.0,6113599397.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,1.198.659.276,183.336.504,1.381.995.780,,1198659276.0,183336504.0,1381995780.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,6.459.476.423,1.036.118.754,7.495.595.177,,6459476423.0,1036118754.0,7495595177.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,39.790.252.840,2.886.026.936,363.223.108,43.039.502.884,39790252840.0,2886026936.0,363223108.0,43039502884.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,39.790.252.840,1.687.367.660,179.886.604,41.657.507.104,39790252840.0,1687367660.0,179886604.0,41657507104.0
Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minh số 22.1),Giá trị còn lại > Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minh số 22.1),Trong đó:Tài sản sử dụngđể thế chấp(Thuyết minh số 22.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
