row_label_raw,row_label_full,col_0,VND,VND_1,numeric__VND,numeric__VND_1
,,,Số cuối năm,Số đầu năm,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,230.617.581.840,197.880.292.967,230617581840.0,197880292967.0
"Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược",142.770.610.723,138.037.682.256,142770610723.0,138037682256.0
Thu hộ phí bảo trì các dự án,Thu hộ phí bảo trì các dự án,Thu hộ phí bảo trì các dự án,15.985.321.756,16.033.754.893,15985321756.0,16033754893.0
Thường ban điều hành và cán bộ trọng yếu,Thường ban điều hành và cán bộ trọng yếu,Thường ban điều hành và cán bộ trọng yếu,10.573.411.621,18.169.394.160,10573411621.0,18169394160.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,2.629.764.115,213.710.395,2629764115.0,213710395.0
Phải trả bên liên quan (Thuyết minh số 34),Phải trả bên liên quan (Thuyết minh số 34),Phải trả bên liên quan (Thuyết minh số 34),,4.519.430,,4519430.0
Khác,Khác,Khác,58.658.473.625,25.421.231.833,58658473625.0,25421231833.0
Dài hạn,Dài hạn,Dài hạn,71.707.090.454,75.471.474.863,71707090454.0,75471474863.0
Thường ban điều hành và cán bộ trọng yếu,Thường ban điều hành và cán bộ trọng yếu,Thường ban điều hành và cán bộ trọng yếu,23.645.689.037,55.809.487.276,23645689037.0,55809487276.0
"Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược","Các khoản ký quỹ, ký cược",46.443.014.194,19.289.927.764,46443014194.0,19289927764.0
Phải trả bên liên quan (Thuyết minh số 34),Phải trả bên liên quan (Thuyết minh số 34),Phải trả bên liên quan (Thuyết minh số 34),1.508.561.400,300.234.000,1508561400.0,300234000.0
Khác,Khác,Khác,109.825.823,71.825.823,109825823.0,71825823.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,302.324.672.294,273.351.767.830,302324672294.0,273351767830.0
