row_label_raw,row_label_full,31/12/2023,31/12/2023_1,01/01/2023,01/01/2023_1,numeric__31/12/2023_1,numeric__01/01/2023,numeric__01/01/2023_1
Giá gốcVND,Giá gốcVND,Giá gốcVND,Dự phòngVND,Giá gốcVND,Dự phòngVND,,,
737.949.088.062,Giá gốcVND > 737.949.088.062,737.949.088.062,(465.802.553.645),735.375.439.051,(449.800.000.000),-465802553645.0,735375439051.0,-449800000000.0
449.800.000.000,Giá gốcVND > 449.800.000.000,449.800.000.000,(449.800.000.000),449.800.000.000,(449.800.000.000),-449800000000.0,449800000000.0,-449800000000.0
256.208.939.051,Giá gốcVND > 256.208.939.051,256.208.939.051,-,256.208.939.051,-,,256208939051.0,
20.000.000.000,Giá gốcVND > 20.000.000.000,20.000.000.000,(16.002.553.645),20.000.000.000,-,-16002553645.0,20000000000.0,
6.800.000.000,Giá gốcVND > 6.800.000.000,6.800.000.000,-,6.800.000.000,-,,6800000000.0,
1.500.000.000,Giá gốcVND > 1.500.000.000,1.500.000.000,-,1.500.000.000,-,,1500000000.0,
1.066.500.000,Giá gốcVND > 1.066.500.000,1.066.500.000,-,1.066.500.000,-,,1066500000.0,
2.573.649.011,2.573.649.011,2.573.649.011,-,-,-,,,
145.402.520.000,2.573.649.011 > 145.402.520.000,145.402.520.000,(38.385.027.569),145.402.520.000,(6.320.857.859),-38385027569.0,145402520000.0,-6320857859.0
85.000.000.000,2.573.649.011 > 85.000.000.000,85.000.000.000,-,85.000.000.000,-,,85000000000.0,
34.842.520.000,2.573.649.011 > 34.842.520.000,34.842.520.000,(26.248.494.738),34.842.520.000,(2.953.779.175),-26248494738.0,34842520000.0,-2953779175.0
19.560.000.000,2.573.649.011 > 19.560.000.000,19.560.000.000,(8.566.211.588),19.560.000.000,-,-8566211588.0,19560000000.0,
6.000.000.000,2.573.649.011 > 6.000.000.000,6.000.000.000,(3.570.321.243),6.000.000.000,(3.367.078.684),-3570321243.0,6000000000.0,-3367078684.0
39.227.400.000,2.573.649.011 > 39.227.400.000,39.227.400.000,(18.063.143.919),39.227.400.000,(16.467.056.817),-18063143919.0,39227400000.0,-16467056817.0
21.405.000.000,2.573.649.011 > 21.405.000.000,21.405.000.000,(5.312.299.420),21.405.000.000,(5.312.299.420),-5312299420.0,21405000000.0,-5312299420.0
13.637.400.000,2.573.649.011 > 13.637.400.000,13.637.400.000,(12.750.844.499),13.637.400.000,(11.154.757.397),-12750844499.0,13637400000.0,-11154757397.0
4.185.000.000,2.573.649.011 > 4.185.000.000,4.185.000.000,-,4.185.000.000,-,,4185000000.0,
922.579.008.062,2.573.649.011 > 922.579.008.062,922.579.008.062,(522.250.725.133),920.005.359.051,(472.587.914.676),-522250725133.0,920005359051.0,-472587914676.0
