row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng,,
Tiền gửi tại và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,32.425.544,21.861.168,32425544.0,21861168.0
Chứng khoán kinh doanh - Chứng khoán Nợ,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Chứng khoán kinh doanh - Chứng khoán Nợ,Chứng khoán kinh doanh - Chứng khoán Nợ,1.601.623,800.000,1601623.0,800000.0
Công cụ tài chính phải sinh,Rủi ro tín dụng liên quan đến các tài sản nội bằng > Công cụ tài chính phải sinh,Công cụ tài chính phải sinh,208.294,-,208294.0,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,
- Cho vay khách hàng cá nhân,Cho vay khách hàng > - Cho vay khách hàng cá nhân,- Cho vay khách hàng cá nhân,60.563.383,47.384.798,60563383.0,47384798.0
- Cho vay khách hàng là tổ chức,Cho vay khách hàng > - Cho vay khách hàng là tổ chức,- Cho vay khách hàng là tổ chức,62.568.265,57.112.230,62568265.0,57112230.0
Hoạt động mua nợ,Cho vay khách hàng > Hoạt động mua nợ,Hoạt động mua nợ,-,7.749,,7749.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,
- Chứng khoán Nợ - sẵn sàng để bán,Chứng khoán đầu tư > - Chứng khoán Nợ - sẵn sàng để bán,- Chứng khoán Nợ - sẵn sàng để bán,9.666.239,5.962.202,9666239.0,5962202.0
- Chứng khoán Nợ - giữ đến ngày đáo hạn,Chứng khoán đầu tư > - Chứng khoán Nợ - giữ đến ngày đáo hạn,- Chứng khoán Nợ - giữ đến ngày đáo hạn,8.369.452,7.636.678,8369452.0,7636678.0
Tài sản tài chính khác,Chứng khoán đầu tư > Tài sản tài chính khác,Tài sản tài chính khác,3.880.479,5.140.464,3880479.0,5140464.0
Rủi ro tín dụng liên quan đến các tài sảnngoại bảng,Rủi ro tín dụng liên quan đến các tài sảnngoại bảng,Rủi ro tín dụng liên quan đến các tài sảnngoại bảng,Rủi ro tín dụng liên quan đến các tài sảnngoại bảng,Rủi ro tín dụng liên quan đến các tài sảnngoại bảng,,
Các hợp đồng bảo lãnh tài chính,Rủi ro tín dụng liên quan đến các tài sảnngoại bảng > Các hợp đồng bảo lãnh tài chính,Các hợp đồng bảo lãnh tài chính,3.626.122,3.578.489,3626122.0,3578489.0
Các cam kết trong thư tín dụng,Rủi ro tín dụng liên quan đến các tài sảnngoại bảng > Các cam kết trong thư tín dụng,Các cam kết trong thư tín dụng,5.025.160,1.127.402,5025160.0,1127402.0
