row_label_raw,row_label_full,col_0,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,247.807,193.281,247807.0,193281.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,91.447,105.836,91447.0,105836.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,45.678,10.825,45678.0,10825.0
Thu tiền cho thuê lại văn phòng,Thu tiền cho thuê lại văn phòng,Thu tiền cho thuê lại văn phòng,41.317,37.938,41317.0,37938.0
Thu nhập từ dịch vụ thu hộ và hỗ trợ quản lý trái phiếu,Thu nhập từ dịch vụ thu hộ và hỗ trợ quản lý trái phiếu,Thu nhập từ dịch vụ thu hộ và hỗ trợ quản lý trái phiếu,27.273,-,27273.0,
Thu nhập từ dịch vụ hỗ trợ công nghệ thông tin,Thu nhập từ dịch vụ hỗ trợ công nghệ thông tin,Thu nhập từ dịch vụ hỗ trợ công nghệ thông tin,13.460,12.515,13460.0,12515.0
Thu nhập thuần từ thanh lý tài sản cố định,Thu nhập thuần từ thanh lý tài sản cố định,Thu nhập thuần từ thanh lý tài sản cố định,13.160,9.584,13160.0,9584.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,15.472,16.583,15472.0,16583.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(50.242),(19.637),-50242.0,-19637.0
Chi phí về thanh lý tài sản khác,Chi phí về thanh lý tài sản khác,Chi phí về thanh lý tài sản khác,(39.364),(8.530),-39364.0,-8530.0
Chi tài trợ,Chi tài trợ,Chi tài trợ,(7.645),(2.449),-7645.0,-2449.0
Chi phí khác,Chi phí khác,Chi phí khác,(3.233),(8.658),-3233.0,-8658.0
,,,197.565,173.644,197565.0,173644.0
