row_label_raw,row_label_full,col_0,Năm nay,Năm trước(Trình bày lại),numeric__Năm nay,numeric__Năm trước(Trình bày lại)
,,,Triệu VND,Triệu VND,,
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,4.723.616,2.744.620,4723616.0,2744620.0
Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,Thu từ dịch vụ thanh toán,1.886.154,1.857.906,1886154.0,1857906.0
Thu từ dịch vụ đại lý bảo hiểm,Thu từ dịch vụ đại lý bảo hiểm,Thu từ dịch vụ đại lý bảo hiểm,398.616,200.377,398616.0,200377.0
Thu dịch vụ khác,Thu dịch vụ khác,Thu dịch vụ khác,2.438.846,686.337,2438846.0,686337.0
Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,Chi phí cho hoạt động dịch vụ,(1.567.181),(1.874.948),-1567181.0,-1874948.0
Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,Chi về dịch vụ thanh toán,(1.229.049),(1.122.208),-1229049.0,-1122208.0
Chi về dịch vụ đại lý bảo hiểm,Chi về dịch vụ đại lý bảo hiểm,Chi về dịch vụ đại lý bảo hiểm,(106.017),(473.808),-106017.0,-473808.0
Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,(129.255),(205.798),-129255.0,-205798.0
Chi dịch vụ khác,Chi dịch vụ khác,Chi dịch vụ khác,(102.860),(73.134),-102860.0,-73134.0
,,,3.156.435,869.672,3156435.0,869672.0
