row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2015VND,2014VND,,
Công ty Cổ phần Za Hưng – Công ty liên kết,Công ty Cổ phần Za Hưng – Công ty liên kết,Công ty Cổ phần Za Hưng – Công ty liên kết,Công ty Cổ phần Za Hưng – Công ty liên kết,Công ty Cổ phần Za Hưng – Công ty liên kết,,
Bán hàng hóa và dịch vụ,Công ty Cổ phần Za Hưng – Công ty liên kết > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,76.536.613.885,392.400.000,76536613885.0,392400000.0
Cho vay và thu lại vay ngắn hạn,Công ty Cổ phần Za Hưng – Công ty liên kết > Cho vay và thu lại vay ngắn hạn,Cho vay và thu lại vay ngắn hạn,20.000.000.000,-,20000000000.0,
Cổ tức nhận được,Công ty Cổ phần Za Hưng – Công ty liên kết > Cổ tức nhận được,Cổ tức nhận được,13.500.930.000,5.812.900.000,13500930000.0,5812900000.0
Lãi tiền vay nhận được,Công ty Cổ phần Za Hưng – Công ty liên kết > Lãi tiền vay nhận được,Lãi tiền vay nhận được,300.000.000,-,300000000.0,
Góp vốn,Công ty Cổ phần Za Hưng – Công ty liên kết > Góp vốn,Góp vốn,-,18.751.300.000,,18751300000.0
Công ty Cổ phần Thương mại Hà Đô – Công ty liên kết,Công ty Cổ phần Thương mại Hà Đô – Công ty liên kết,Công ty Cổ phần Thương mại Hà Đô – Công ty liên kết,Công ty Cổ phần Thương mại Hà Đô – Công ty liên kết,Công ty Cổ phần Thương mại Hà Đô – Công ty liên kết,,
Bán hàng hóa và dịch vụ,Công ty Cổ phần Thương mại Hà Đô – Công ty liên kết > Bán hàng hóa và dịch vụ,Bán hàng hóa và dịch vụ,1.080.000.000,540.000.000,1080000000.0,540000000.0
"Thành viên Hội đồng Quản trị , Ban Giám đốc vàBan Kiểm soát","Thành viên Hội đồng Quản trị , Ban Giám đốc vàBan Kiểm soát","Thành viên Hội đồng Quản trị , Ban Giám đốc vàBan Kiểm soát","Thành viên Hội đồng Quản trị , Ban Giám đốc vàBan Kiểm soát","Thành viên Hội đồng Quản trị , Ban Giám đốc vàBan Kiểm soát",,
"Tiền lương, thường và phụ cấp","Thành viên Hội đồng Quản trị , Ban Giám đốc vàBan Kiểm soát > Tiền lương, thường và phụ cấp","Tiền lương, thường và phụ cấp",6.861.120.201,4.163.686.000,6861120201.0,4163686000.0
