row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (*),Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (*),Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông (*),979.141.709.319,924.409.493.659,979141709319.0,924409493659.0
"Điều chỉnh giảm do trích quỹ khen thưởng phúc lợi, thù lao HĐQT (*)","Điều chỉnh giảm do trích quỹ khen thưởng phúc lợi, thù lao HĐQT (*)","Điều chỉnh giảm do trích quỹ khen thưởng phúc lợi, thù lao HĐQT (*)",(29.374.000.000),(22.996.405.000),-29374000000.0,-22996405000.0
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông để tính lãi cơ bản trên cổ phiếu,949.767.709.319,901.413.088.659,949767709319.0,901413088659.0
Ảnh hưởng suy giảm do chi phí lãi vay phát sinh từ trái phiếu chuyển đổi,Ảnh hưởng suy giảm do chi phí lãi vay phát sinh từ trái phiếu chuyển đổi,Ảnh hưởng suy giảm do chi phí lãi vay phát sinh từ trái phiếu chuyển đổi,22.445.222.789,-,22445222789.0,
Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,Lợi nhuận thuần sau thuế phân bổ cho cổ đông sở hữu cổ phiếu phổ thông sau khi đã điều chỉnh cho các yếu tố suy giảm,972.212.932.108,901.413.088.659,972212932108.0,901413088659.0
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu,154.245.609,118.648.662,154245609.0,118648662.0
Ảnh hưởng của cổ tức bằng cổ phiếu (**),Ảnh hưởng của cổ tức bằng cổ phiếu (**),Ảnh hưởng của cổ tức bằng cổ phiếu (**),-,35.593.729,,35593729.0
"Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh","Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh","Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) để tính lãi cơ bản trên cổ phiếu, sau điều chỉnh",154.245.609,154.242.391,154245609.0,154242391.0
Ảnh hưởng suy giảm do Trải phiếu kèm chứng quyền (***),Ảnh hưởng suy giảm do Trải phiếu kèm chứng quyền (***),Ảnh hưởng suy giảm do Trải phiếu kèm chứng quyền (***),14.772.550,2.023.637,14772550.0,2023637.0
Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,Bình quân gia quyền của số cổ phiếu phổ thông (không bao gồm cổ phiếu quỹ) đã điều chỉnh cho các yếu tố suy giảm,169.018.159,156.266.028,169018159.0,156266028.0
Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,Lãi cơ bản trên cổ phiếu,6.158,5.844,6158.0,5844.0
Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,Lãi suy giảm trên cổ phiếu,5.752,5.768,5752.0,5768.0
