row_label_raw,row_label_full,col_0,Kinh doanhbắt động sản,Kinh doanhdịch vụ khách sạn,Hoạt động xây lắp,Hoạt động cho thuêvà các hoạt độngkhác,Điều chỉnhvà loại trừ,Đơn vị tính: VND,numeric__Kinh doanhbắt động sản,numeric__Kinh doanhdịch vụ khách sạn,numeric__Hoạt động xây lắp,numeric__Hoạt động cho thuêvà các hoạt độngkhác,numeric__Điều chỉnhvà loại trừ,numeric__Đơn vị tính: VND
Doanh thu,Doanh thu,Doanh thu,281.840.836.617,106.973.159.951,264.040.759.180,164.065.030.149,-,816.919.785.897,281840836617.0,106973159951.0,264040759180.0,164065030149.0,,816919785897.0
Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,Doanh thu từ bán hàng rabên ngoài,281.840.836.617,106.973.159.951,264.040.759.180,164.065.030.149,-,816.919.785.897,281840836617.0,106973159951.0,264040759180.0,164065030149.0,,816919785897.0
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,281.840.836.617,106.973.159.951,264.040.759.180,164.065.030.149,-,816.919.785.897,281840836617.0,106973159951.0,264040759180.0,164065030149.0,,816919785897.0
Kết quả,Kết quả,Kết quả,,,,,,,,,,,,
Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Kết quả > Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,Lợi nhuận/(lỗ) gộp trướcthuế của bộ phận,154.020.459.425,60.039.481.386,27.888.524.383,107.202.668.557,-,349.151.133.751,154020459425.0,60039481386.0,27888524383.0,107202668557.0,,349151133751.0
Thu nhập/(chi phí) khôngphân bổ (i),Kết quả > Thu nhập/(chi phí) khôngphân bổ (i),Thu nhập/(chi phí) khôngphân bổ (i),,,,,,575.479.946.772,,,,,,575479946772.0
Lợi nhuận trước thuếChi phí thuế TNDN,Kết quả > Lợi nhuận trước thuếChi phí thuế TNDN,Lợi nhuận trước thuếChi phí thuế TNDN,108.765.237.790,22.344.409.838,(14.508.536.387),79.521.751.512,575.479.946.772,771.602.809.525(25.998.746.680),108765237790.0,22344409838.0,-14508536387.0,79521751512.0,575479946772.0,
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,108.765.237.790,22.344.409.838,(14.508.536.387),79.521.751.512,549.481.200.092,745.604.062.845,108765237790.0,22344409838.0,-14508536387.0,79521751512.0,549481200092.0,745604062845.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,905.812.197.508,234.432.315.231,64.285.359.905,598.201.860.495,-,1.802.731.733.139,905812197508.0,234432315231.0,64285359905.0,598201860495.0,,1802731733139.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,6.436.420.817.533,,,,,,6436420817533.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,905.812.197.508,234.432.315.231,64.285.359.905,598.201.860.495,6.436.420.817.533,8.239.152.550.672,905812197508.0,234432315231.0,64285359905.0,598201860495.0,6436420817533.0,8239152550672.0
Công nợ bộ phận,Tài sản và công nợ > Công nợ bộ phận,Công nợ bộ phận,907.704.938.598,12.649.766.436,18.829.175.293,78.934.486.770,-,1.018.118.367.097,907704938598.0,12649766436.0,18829175293.0,78934486770.0,,1018118367097.0
Công nợ không phân bổ (iii),Tài sản và công nợ > Công nợ không phân bổ (iii),Công nợ không phân bổ (iii),,,,,,1.809.251.363.518,,,,,,1809251363518.0
Tổng công nợ,Tài sản và công nợ > Tổng công nợ,Tổng công nợ,907.704.938.598,12.649.766.436,18.829.175.293,78.934.486.770,1.809.251.363.518,2.827.369.730.615,907704938598.0,12649766436.0,18829175293.0,78934486770.0,1809251363518.0,2827369730615.0
