row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về dòng tiền quản lý tập trung (i),Ngắn hạn > Phải trả về dòng tiền quản lý tập trung (i),Phải trả về dòng tiền quản lý tập trung (i),771.488.537.006,272.272.142.049,771488537006.0,272272142049.0
Nhận tạm ứng từ công ty con,Ngắn hạn > Nhận tạm ứng từ công ty con,Nhận tạm ứng từ công ty con,126.082.000.000,95.182.000.000,126082000000.0,95182000000.0
"Nhận đặt cọc cho thuê, ký cược, ký quỹ","Ngắn hạn > Nhận đặt cọc cho thuê, ký cược, ký quỹ","Nhận đặt cọc cho thuê, ký cược, ký quỹ",25.855.783.092,24.074.385.571,25855783092.0,24074385571.0
Phải trả tiền hỗ trợ chuyển giao mặt bằng,Phải trả tiền hỗ trợ chuyển giao mặt bằng,Phải trả tiền hỗ trợ chuyển giao mặt bằng,,,,
Dự án An Khánh - An Thương (ii),Phải trả tiền hỗ trợ chuyển giao mặt bằng > Dự án An Khánh - An Thương (ii),Dự án An Khánh - An Thương (ii),20.630.454.546,20.630.454.546,20630454546.0,20630454546.0
Thu hộ phải trả,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Thu hộ phải trả,Thu hộ phải trả,12.733.739.138,14.083.826.887,12733739138.0,14083826887.0
Phải trả thuê đất Bộ Quốc Phòng,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Phải trả thuê đất Bộ Quốc Phòng,Phải trả thuê đất Bộ Quốc Phòng,7.292.569.968,1.627.227.211,7292569968.0,1627227211.0
Phải trả lợi nhuận chia sẻ theo BCC,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Phải trả lợi nhuận chia sẻ theo BCC,Phải trả lợi nhuận chia sẻ theo BCC,10.202.767.947,9.366.641.280,10202767947.0,9366641280.0
Các khoản phải trả ngắn hạn khác,Phải trả tiền hỗ trợ chuyển giao mặt bằng > Các khoản phải trả ngắn hạn khác,Các khoản phải trả ngắn hạn khác,11.321.274.365,1.541.312.325,11321274365.0,1541312325.0
TỔNG CỘNG,Phải trả tiền hỗ trợ chuyển giao mặt bằng > TỔNG CỘNG,TỔNG CỘNG,985.607.126.062,438.777.989.869,985607126062.0,438777989869.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,87.496.011.979,73.428.628.852,87496011979.0,73428628852.0
Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Trong đó: > Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),Phải trả ngắn hạn các bên liên quan(Thuyết minh số 29.2),898.111.114.083,365.349.361.017,898111114083.0,365349361017.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận đặt cọc cho thuê, ký cược, ký quỹ","Dài hạn > Nhận đặt cọc cho thuê, ký cược, ký quỹ","Nhận đặt cọc cho thuê, ký cược, ký quỹ",18.138.071.410,15.259.743.586,18138071410.0,15259743586.0
Phải trả dài hạn khác,Dài hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,27.946.080,375.542.400,27946080.0,375542400.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,18.166.017.490,15.635.285.986,18166017490.0,15635285986.0
