row_label_raw,row_label_full,Chỉ tiêu,Miền Bắc VND,Miền Trung VND,Miền Nam VND,Cộng VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Miền Nam VND,numeric__Cộng VND
1. Doanh thu thuần,1. Doanh thu thuần,1. Doanh thu thuần,934.006.874.203,47.241.818.178,170.496.363.614,1.151.745.055.995,934006874203.0,47241818178.0,170496363614.0,1151745055995.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,287.953.088.626,47.241.818.178,170.496.363.614,505.691.270.418,287953088626.0,47241818178.0,170496363614.0,505691270418.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,646.053.785.577,-,-,646.053.785.577,646053785577.0,,,646053785577.0
2. Giá vốn,2. Giá vốn,2. Giá vốn,785.206.895.545,45.679.332.158,163.311.078.797,994.197.306.500,785206895545.0,45679332158.0,163311078797.0,994197306500.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,278.199.404.476,45.679.332.158,163.311.078.797,487.189.815.431,278199404476.0,45679332158.0,163311078797.0,487189815431.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,507.007.491.069,-,-,507.007.491.069,507007491069.0,,,507007491069.0
3. Lợi nhuận gộp,3. Lợi nhuận gộp,3. Lợi nhuận gộp,148.799.978.658,1.562.486.020,7.185.284.817,157.547.749.495,148799978658.0,1562486020.0,7185284817.0,157547749495.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,9.753.684.150,1.562.486.020,7.185.284.817,18.501.454.987,9753684150.0,1562486020.0,7185284817.0,18501454987.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,139.046.294.508,-,-,139.046.294.508,139046294508.0,,,139046294508.0
4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,183.004.532.850,7.841.740.340,28.300.947.422,219.147.220.613,183004532850.0,7841740340.0,28300947422.0,219147220613.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,47.797.765.586,7.841.740.340,28.300.947.422,83.940.453.349,47797765586.0,7841740340.0,28300947422.0,83940453349.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,128.041.498.550,-,-,128.041.498.550,128041498550.0,,,128041498550.0
- LN khác,- LN khác,- LN khác,7.165.268.714,-,-,7.165.268.714,7165268714.0,,,7165268714.0
