row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,numeric__Mối quan hệ
Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy (TCH),Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy (TCH),Công ty Cổ phần Đầu tư Dịch vụ Tài chính Hoàng Huy (TCH),Công ty mẹ,
Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty Cổ phần Phát triển Dịch vụ Hoàng Giang,Công ty con,
Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty TNHH Pruksa Việt Nam,Công ty con,
Công ty Cổ phần HHS Capital,Công ty Cổ phần HHS Capital,Công ty Cổ phần HHS Capital,Công ty con,
Công ty Cổ phần Tập đoàn Bất động sản CRV (CRV),Công ty Cổ phần Tập đoàn Bất động sản CRV (CRV),Công ty Cổ phần Tập đoàn Bất động sản CRV (CRV),Công ty liên kết đến ngày 12/06/2025 và là Công ty con từ ngày 12/06/2025,
Công ty Cổ phần Phát triển Nhà Đại Lộc,Công ty Cổ phần Phát triển Nhà Đại Lộc,Công ty Cổ phần Phát triển Nhà Đại Lộc,Công ty con của “CRV”,
Công ty Cổ phần Xây dựng Đại Thịnh Vượng,Công ty Cổ phần Xây dựng Đại Thịnh Vượng,Công ty Cổ phần Xây dựng Đại Thịnh Vượng,Công ty con của “CRV”,
Công ty Cổ phần Xây dựng Thịnh Hiệp,Công ty Cổ phần Xây dựng Thịnh Hiệp,Công ty Cổ phần Xây dựng Thịnh Hiệp,Công ty con của “TCH”,
Công ty Cổ phần Xây dựng địa ốc Thịnh Phát,Công ty Cổ phần Xây dựng địa ốc Thịnh Phát,Công ty Cổ phần Xây dựng địa ốc Thịnh Phát,Công ty con của “TCH”,
Công ty Cổ phần Đầu tư Tô Hiệu,Công ty Cổ phần Đầu tư Tô Hiệu,Công ty Cổ phần Đầu tư Tô Hiệu,Công ty con của “TCH”,
"Các thành viên Hội đồng quản trị, Ban Giám đốc, Ban Kiểm soát và người có liên quan của các thành viên này","Các thành viên Hội đồng quản trị, Ban Giám đốc, Ban Kiểm soát và người có liên quan của các thành viên này","Các thành viên Hội đồng quản trị, Ban Giám đốc, Ban Kiểm soát và người có liên quan của các thành viên này",,
