row_label_raw,row_label_full,Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Bên liên quan,Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Nội dung nghiệp vụ,Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Các khoản phải thu (VND),Năm 2020 > Đơn vị tính: VND > Các khoản phải trả (VND),numeric__Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Nội dung nghiệp vụ,numeric__Năm 2020 > PHỤ LỰC 1: GIAO ĐỊCH VỚI CÁC BÊN LIÊN QUAN > Các khoản phải thu (VND),numeric__Năm 2020 > Đơn vị tính: VND > Các khoản phải trả (VND)
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Ứng trước công trình,,,,,
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả > + Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Đặt cọc tiền góp vốp,32.000.000.000,,,32000000000.0,
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả > + Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Số dư cuối bảo hành các công trình,36.478.301.782,,,36478301782.0,
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả > + Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Phải thu,184.404.860.079,,,184404860079.0,
+ Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả > + Công ty Cổ phần Đầu tư Đèo cả,+ Công ty Cổ phần Đầu tư Đèo cả,- Ứng trước công trình,,10.211.507.100,,,10211507100.0
+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Đầu tư Đèo cả > + Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,- Phải thu,57.155.927.220,,,57155927220.0,
+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,+ Công ty Cổ phần Phước Tượng Phú Gia BOT,- Phải trả,,,,,
+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,- Ứng trước công trình,,,,,
+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa > + Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,- Phải thu,2.358.205.811,,,2358205811.0,
+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,+ Công ty CP Đầu tư BOT Đèo cả Khánh Hòa,- Phải trả,,,,,
