row_label_raw,row_label_full,col_0,31/12/2021,01/01/2021,numeric__31/12/2021,numeric__01/01/2021
a) Ngắn hạn:,a) Ngắn hạn:,a) Ngắn hạn:,54.080.267.206,34.020.233.167,54080267206.0,34020233167.0
Bên khác,Bên khác,Bên khác,20.489.208.012,8.525.613.373,20489208012.0,8525613373.0
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,1.173.133.467,1.160.774.965,1173133467.0,1160774965.0
"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp","Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp","Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp",-,-,,
Quỹ ứng hộ,"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Quỹ ứng hộ",Quỹ ứng hộ,418.533.926,418.533.926,418533926.0,418533926.0
Tạm ứng (số dư có 141),"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Tạm ứng (số dư có 141)",Tạm ứng (số dư có 141),362.061.688,153.292.087,362061688.0,153292087.0
"Các khoản phải trả, phải nộp khác","Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",18.535.478.931,6.793.012.395,18535478931.0,6793012395.0
Công ty France Emulsion tiền lợi nhuận hợp tác kinh doanh,"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Công ty France Emulsion tiền lợi nhuận hợp tác kinh doanh",Công ty France Emulsion tiền lợi nhuận hợp tác kinh doanh,1.606.087.366,1.606.087.366,1606087366.0,1606087366.0
Đối tượng khác,"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Đối tượng khác",Đối tượng khác,16.929.391.565,5.186.925.029,16929391565.0,5186925029.0
Bên liên quan (*),"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Bên liên quan (*)",Bên liên quan (*),33.591.059.194,25.494.619.794,33591059194.0,25494619794.0
Công ty cổ phần tư vấn xây dựng A2Z,"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Công ty cổ phần tư vấn xây dựng A2Z",Công ty cổ phần tư vấn xây dựng A2Z,-,140.630.137,,140630137.0
Công ty cổ phần Đầu tư Hải Thạch B.O.T,"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Công ty cổ phần Đầu tư Hải Thạch B.O.T",Công ty cổ phần Đầu tư Hải Thạch B.O.T,11.487.780.823,5.946.849.315,11487780823.0,5946849315.0
Công ty cổ phần Đầu tư hạ tầng Miền Bắc,"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Công ty cổ phần Đầu tư hạ tầng Miền Bắc",Công ty cổ phần Đầu tư hạ tầng Miền Bắc,-,4.120.035.388,,4120035388.0
Công ty cổ phần tập đoàn Đèo Cả,"Bảo hiểm xã hội, y tế, bảo hiểm thất nghiệp > Công ty cổ phần tập đoàn Đèo Cả",Công ty cổ phần tập đoàn Đèo Cả,22.103.278.371,15.287.104.954,22103278371.0,15287104954.0
b) Dải hạn,b) Dải hạn,b) Dải hạn,-,-,,
Cộng,b) Dải hạn > Cộng,Cộng,54.080.267.206,34.020.233.167,54080267206.0,34020233167.0
