row_label_raw,row_label_full,col_0,31/12/2018VND,1/1/2018VND,numeric__31/12/2018VND,numeric__1/1/2018VND
Các công trình trong giai đoạn đầu tư xây dựng cơ bản,Các công trình trong giai đoạn đầu tư xây dựng cơ bản,Các công trình trong giai đoạn đầu tư xây dựng cơ bản,8.024.770.332,4.333.851.346,8024770332.0,4333851346.0
Nâng cấp hệ thống xử lý khí thải,Nâng cấp hệ thống xử lý khí thải,Nâng cấp hệ thống xử lý khí thải,4.819.969.670,3.557.662.387,4819969670.0,3557662387.0
Các công trình khác,Các công trình khác,Các công trình khác,3.204.800.662,776.188.959,3204800662.0,776188959.0
Các công trình sửa chữa lớn dở dang (Thuyết minh 3(h)),Các công trình sửa chữa lớn dở dang (Thuyết minh 3(h)),Các công trình sửa chữa lớn dở dang (Thuyết minh 3(h)),159.669.154.485,138.983.045.211,159669154485.0,138983045211.0
"Đại tu tuabin, máy phát tố máy số 4","Đại tu tuabin, máy phát tố máy số 4","Đại tu tuabin, máy phát tố máy số 4",32.421.946.685,-,32421946685.0,
Đại tu hệ thống lò hơi số 4,Đại tu hệ thống lò hơi số 4,Đại tu hệ thống lò hơi số 4,18.978.092.001,-,18978092001.0,
Đại tu hệ thống nghiền than tố máy số 4,Đại tu hệ thống nghiền than tố máy số 4,Đại tu hệ thống nghiền than tố máy số 4,16.461.346.402,-,16461346402.0,
Thuê chuyên gia đại tu Tuabin,Thuê chuyên gia đại tu Tuabin,Thuê chuyên gia đại tu Tuabin,13.934.011.447,-,13934011447.0,
Băng tài Y và thiết bị phụ,Băng tài Y và thiết bị phụ,Băng tài Y và thiết bị phụ,10.188.021.891,-,10188021891.0,
Đại tu hệ thống bằng tài và thiết bị phụ Hải Phòng 2,Đại tu hệ thống bằng tài và thiết bị phụ Hải Phòng 2,Đại tu hệ thống bằng tài và thiết bị phụ Hải Phòng 2,9.041.637.063,-,9041637063.0,
Đại tu hệ thống lò hơi số 3,Đại tu hệ thống lò hơi số 3,Đại tu hệ thống lò hơi số 3,-,25.903.455.399,,25903455399.0
"Đại tu tuabin, máy phát tố máy số 3","Đại tu tuabin, máy phát tố máy số 3","Đại tu tuabin, máy phát tố máy số 3",-,23.408.543.328,,23408543328.0
Đại tu hệ thống thải xỉ chung Hải Phòng 2 năm 2017,Đại tu hệ thống thải xỉ chung Hải Phòng 2 năm 2017,Đại tu hệ thống thải xỉ chung Hải Phòng 2 năm 2017,-,19.130.114.184,,19130114184.0
"Thuê nhà chế tạo Fujii/Marubeni đại tu tuabin, máy phát tố máy số 3","Thuê nhà chế tạo Fujii/Marubeni đại tu tuabin, máy phát tố máy số 3","Thuê nhà chế tạo Fujii/Marubeni đại tu tuabin, máy phát tố máy số 3",-,15.040.375.155,,15040375155.0
Đại tu hệ thống xử lý nước Hải Phòng 2 năm 2017,Đại tu hệ thống xử lý nước Hải Phòng 2 năm 2017,Đại tu hệ thống xử lý nước Hải Phòng 2 năm 2017,-,7.078.818.606,,7078818606.0
Đại tu hệ thống nghiền than tố máy số 3,Đại tu hệ thống nghiền than tố máy số 3,Đại tu hệ thống nghiền than tố máy số 3,-,6.865.407.256,,6865407256.0
"Đại tu máy đánh phá đồng A, hệ thống bốc dỡ than","Đại tu máy đánh phá đồng A, hệ thống bốc dỡ than","Đại tu máy đánh phá đồng A, hệ thống bốc dỡ than",-,6.674.240.163,,6674240163.0
Các công trình khác,Các công trình khác,Các công trình khác,58.644.098.996,34.882.091.120,58644098996.0,34882091120.0
,,,167.693.924.817,143.316.896.557,167693924817.0,143316896557.0
