row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngân VND > Năm nay,Ngân VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngân VND > Năm nay,numeric__Ngân VND > Năm trước
Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu,Công ty con,Lãi cho vayBán hàng hóa,141.250.88846.373.305,83.343.743-,,,1.4125088846373304e+16,
Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty TNHH Hoàng Anh Rattanakiri,Công ty con,Lãi cho vay,81.782.937,84.938.972,,,81782937.0,84938972.0
Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty TNHH Hoàng Anh Oyadav,Công ty con,Lãi cho vay,89.046.422,79.162.589,,,89046422.0,79162589.0
Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty Cổ phần Mía đường Hoàng Anh Gia Lai,Công ty con,Cổ tứcLãi cho vay,223.200.00034.100.705,818.255.49657.410.591,,,2.2320000034100704e+16,8.18255496574106e+16
Công ty Cổ phần Bỏ sữa Tây Nguyên,Công ty Cổ phần Bỏ sữa Tây Nguyên,Công ty Cổ phần Bỏ sữa Tây Nguyên,Công ty con,Cổ tứcBán hàng hóa,81.675.0002.670.570,-601.081,,,816750002670570.0,-601081.0
Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty Cổ phần Cao su Trung Nguyên,Công ty con,Cho vayLãi cho vayBán hàng hóa,396.670.00034.335.0665.375.935,-23.882.1771.444.260,,,3.9667000034335064e+23,-238821771444260.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Bên liên quan,Cho vayLãi cho vay,300.000.00020.987.500,-,,,3.00000000209875e+16,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bên liên quan,Mua hóa và dịch vụBán hàng hóa,30.960.8888.666.625,-4.795.191,,,309608888666625.0,-4795191.0
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng,Bên liên quan,Bán hàng hóa,11.558.000,-,,,11558000.0,
Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty TNHH MTV Kinh doanh Xuất Nhập khẩu Hoàng Anh Gia Lai,Công ty con,Mua vật tưBán hàng hóa,2.259.6625.900,-5.020,,,22596625900.0,-5020.0
Công ty TNHH Mía Đường Hoàng Anh Attapeu,Công ty TNHH Mía Đường Hoàng Anh Attapeu,Công ty TNHH Mía Đường Hoàng Anh Attapeu,Công ty con,Bán hàng hóa,900.000,-,,,900000.0,
Công ty Cổ phần Cao su Ban Mê,Công ty Cổ phần Cao su Ban Mê,Công ty Cổ phần Cao su Ban Mê,Công ty con,Bán hàng hóa,-,10.660,,,,10660.0
