row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán hàng hóa và cung cấp dịch vụ,Phải trả người bán hàng hóa và cung cấp dịch vụ,Phải trả người bán hàng hóa và cung cấp dịch vụ,407.121.181,677.867.839,407121181.0,677867839.0
- Ông Pramoul Kaokitwilai,- Ông Pramoul Kaokitwilai,- Ông Pramoul Kaokitwilai,28.152.973,28.086.149,28152973.0,28086149.0
- Công ty TNHH MTV Minh Bình Gia Lai,- Công ty TNHH MTV Minh Bình Gia Lai,- Công ty TNHH MTV Minh Bình Gia Lai,13.973.835,1.323.730,13973835.0,1323730.0
- Các nhà cung cấp khác,- Các nhà cung cấp khác,- Các nhà cung cấp khác,364.994.373,648.457.960,364994373.0,648457960.0
Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,6.558.393,4.873.670,6558393.0,4873670.0
Phải trả người bán máy móc và thiết bị,Phải trả người bán máy móc và thiết bị,Phải trả người bán máy móc và thiết bị,46.076,45.530,46076.0,45530.0
Phải trả khác,Phải trả khác,Phải trả khác,-,1.346.708,,1346708.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,413.725.650,684.133.747,413725650.0,684133747.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên thứ ba,Trong đó: > Phải trả các bên thứ ba,Phải trả các bên thứ ba,329.655.344,234.741.093,329655344.0,234741093.0
Phải trả các bên liên quan (TM số 33),Trong đó: > Phải trả các bên liên quan (TM số 33),Phải trả các bên liên quan (TM số 33),84.070.306,449.392.654,84070306.0,449392654.0
