row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
100,100,100,A. TÀI SẢN NGẮN HẠN,,6.130.906.088,8.820.918.764,,,6130906088.0,8820918764.0
110,110,110,I. Tiền,4,7.334.259,7.719.915,,4.0,7334259.0,7719915.0
111,111,111,1. Tiền,,7.334.259,7.719.915,,,7334259.0,7719915.0
130,130,130,II. Các khoản phải thu ngắn hạn,,6.032.480.420,8.678.532.010,,,6032480420.0,8678532010.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,5,1.174.110.072,3.534.949.190,,5.0,1174110072.0,3534949190.0
132,132,132,2. Trả trước cho người bán ngắn hạn,6,1.512.187.421,1.291.579.744,,6.0,1512187421.0,1291579744.0
135,135,135,3. Phải thu về cho vay ngắn hạn,26,1.319.481.087,1.528.275.548,,26.0,1319481087.0,1528275548.0
136,136,136,4. Phải thu ngắn hạn khác,7,2.260.978.441,2.335.435.321,,7.0,2260978441.0,2335435321.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,"5, 6, 7",(234.276.601),(11.707.793),,,-234276601.0,-11707793.0
140,140,140,III. Hàng tồn kho,8,21.422.858,80.011.381,,8.0,21422858.0,80011381.0
141,141,141,1. Hàng tồn kho,,23.226.689,83.850.741,,,23226689.0,83850741.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho,,(1.803.831),(3.839.360),,,-1803831.0,-3839360.0
150,150,150,IV. Tài sản ngắn hạn khác,,69.668.551,54.655.458,,,69668551.0,54655458.0
151,151,151,1. Chi phí trả trước ngắn hạn,,1.765,94.885,,,1765.0,94885.0
152,152,152,2. Thuế GTGT được khấu trừ,16,69.380.398,54.274.185,,16.0,69380398.0,54274185.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,16,286.388,286.388,,16.0,286388.0,286388.0
200,200,200,B. TÀI SẢN DÀI HẠN,,11.269.214.748,15.978.915.798,,,11269214748.0,15978915798.0
210,210,210,I. Các khoản phải thu dài hạn,,6.411.378.625,6.691.427.233,,,6411378625.0,6691427233.0
215,215,215,1. Phải thu về cho vay dài hạn,26,4.925.072.274,5.341.046.797,,26.0,4925072274.0,5341046797.0
216,216,216,2. Phải thu dài hạn khác,7,1.486.306.351,1.350.380.436,,7.0,1486306351.0,1350380436.0
220,220,220,II. Tài sản cố định,,6.771.369,66.589.123,,,6771369.0,66589123.0
221,221,221,1. Tài sản cố định hữu hình,9,2.037.202,61.107.456,,9.0,2037202.0,61107456.0
222,222,222,Nguyên giá,,9.390.374,77.225.276,,,9390374.0,77225276.0
223,223,223,Giá trị khấu hao lũy kế,,(7.353.172),(16.117.820),,,-7353172.0,-16117820.0
227,227,227,2. Tài sản cố định vô hình,10,4.734.167,5.481.667,,10.0,4734167.0,5481667.0
228,228,228,Nguyên giá,,5.980.000,5.980.000,,,5980000.0,5980000.0
229,229,229,Giá trị hao mòn lũy kế,,(1.245.833),(498.333),,,-1245833.0,-498333.0
240,240,240,III. Tài sản dở dang dài hạn,,-,5.624.967,,,,5624967.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,,-,5.624.967,,,,5624967.0
250,250,250,IV. Đầu tư tài chính dài hạn,11,4.848.889.448,9.209.077.973,,11.0,4848889448.0,9209077973.0
251,251,251,1. Đầu tư vào các công ty con,,4.662.884.812,9.625.832.393,,,4662884812.0,9625832393.0
252,252,252,2. Đầu tư vào công ty liên kết,,286.004.636,286.004.636,,,286004636.0,286004636.0
253,253,253,3. Đầu tư góp vốn vào đơn vị khác,,2.594.610,2.594.610,,,2594610.0,2594610.0
254,254,254,4. Dự phòng đầu tư tài chính dài hạn,,(102.594.610),(705.353.666),,,-102594610.0,-705353666.0
260,260,260,V. Tài sản dài hạn khác,,2.175.306,6.196.502,,,2175306.0,6196502.0
261,261,261,1. Chi phí trả trước dài hạn,,2.175.306,6.196.502,,,2175306.0,6196502.0
270,270,270,TỔNG CỘNG TÀI SẢN,,17.400.120.836,24.799.834.562,,,17400120836.0,24799834562.0
