row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,24.1,491.920.250,605.571.129,,241.0,491920250.0,605571129.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,25,(927.642.680),(1.269.905.027),,25.0,-927642680.0,-1269905027.0
20,20,20,Lỗ gộp về bán hàng và cung cấp dịch vụ,,(435.722.430),(664.333.898),,,-435722430.0,-664333898.0
21,21,21,Doanh thu hoạt động tài chính,24.2,86.112.332,36.109.178,,242.0,86112332.0,36109178.0
22,22,22,Chi phí tài chính,26,(319.852.387),(343.586.331),,26.0,-319852387.0,-343586331.0
23,23,23,- Trong đó: Chi phí lãi vay,,(312.944.398),(325.405.700),,,-312944398.0,-325405700.0
24,24,24,Phần lãi trong công ty liên kết,15.1,24.650.807,34.923.794,,151.0,24650807.0,34923794.0
25,25,25,Chi phí bán hàng,27,(12.202.839),(26.783.949),,27.0,-12202839.0,-26783949.0
26,26,26,Chi phí quản lý doanh nghiệp,27,(26.506.805),(96.747.957),,27.0,-26506805.0,-96747957.0
30,30,30,Lỗ thuần từ hoạt động kinh doanh,,(683.521.322),(1.060.419.163),,,-683521322.0,-1060419163.0
31,31,31,Thu nhập khác,28,18.907.534,23.564.707,,28.0,18907534.0,23564707.0
32,32,32,Chi phí khác,28,(617.007.343),(73.558.456),,28.0,-617007343.0,-73558456.0
40,40,40,Lỗ khác,,(598.099.809),(49.993.749),,,-598099809.0,-49993749.0
50,50,50,Tổng lỗ kế toán trước thuế,,(1.281.621.131),(1.110.412.912),,,-1281621131.0,-1110412912.0
51,51,51,Chi phí thuế TNDN hiện hành,29.1,(165.902),(895.594),,291.0,-165902.0,-895594.0
52,52,52,(Chi phí) thu nhập thuế TNDN hoãn lại,29.3,(91.615),12.847.788,,293.0,-91615.0,12847788.0
60,60,60,Lỗ thuần sau thuế TNDN,,(1.281.878.648),(1.098.460.718),,,-1281878648.0,-1098460718.0
