row_label_raw,row_label_full,col_0,Sản xuất và kinh doanh thép các loại VND,Kinh doanh máy móc xây dựng VND,Sản xuất đồ nội thất và sản phẩm điện lạnh VND,Bắt động sản VND,Năng lượng và thảm đồ khai thác khoáng sản VND,Chăn nuôi và sản xuất thức ăn chăn nuôi VND,Đầu tư tài chính (Công ty mẹ) VND,Loại trừ VND,Hợp nhất VND,numeric__Sản xuất và kinh doanh thép các loại VND,numeric__Kinh doanh máy móc xây dựng VND,numeric__Sản xuất đồ nội thất và sản phẩm điện lạnh VND,numeric__Bắt động sản VND,numeric__Năng lượng và thảm đồ khai thác khoáng sản VND,numeric__Chăn nuôi và sản xuất thức ăn chăn nuôi VND,numeric__Đầu tư tài chính (Công ty mẹ) VND,numeric__Loại trừ VND,numeric__Hợp nhất VND
Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,Cho năm kết thúc ngày 31 tháng 12 năm 2015,,,,,,,,,
Doanh thu thuần ra bên ngoài Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Doanh thu thuần ra bên ngoài Doanh thu thuần giữa các bộ phận,Doanh thu thuần ra bên ngoài Doanh thu thuần giữa các bộ phận,21.892.049.097.579,303.655.889.756,2.168.743.204.457,1.062.606.385.074,693.909.135.666,1.331.968.401.801,-,-,27.452.932.114.333,21892049097579.0,303655889756.0,2168743204457.0,1062606385074.0,693909135666.0,1331968401801.0,,,27452932114333.0
Doanh thu thuần ra bên ngoài Doanh thu thuần giữa các bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Doanh thu thuần ra bên ngoài Doanh thu thuần giữa các bộ phận,Doanh thu thuần ra bên ngoài Doanh thu thuần giữa các bộ phận,11.523.462.897.673,71.350.969.672,61.610.068.996,64.534.033.233,3.557.294.872.708,-,26.162.521.000,(15.304.415.363.282),-,11523462897673.0,71350969672.0,61610068996.0,64534033233.0,3557294872708.0,,26162521000.0,-15304415363282.0,
Tổng doanh thu của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Tổng doanh thu của bộ phận,Tổng doanh thu của bộ phận,33.415.511.995.252,375.006.859.428,2.230.353.273.453,1.127.140.418.307,4.251.204.008.374,1.331.968.401.801,26.162.521.000,(15.304.415.363.282),27.452.932.114.333,33415511995252.0,375006859428.0,2230353273453.0,1127140418307.0,4251204008374.0,1331968401801.0,26162521000.0,-15304415363282.0,27452932114333.0
Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,Lợi nhuận thuần từ hoạt động kinh doanh của bộ phận,2.950.560.878.140,56.483.192.756,367.128.918.307,387.206.050.544,567.792.959.291,(46.782.297.035),1.787.061.911.805,(1.978.265.442.657),4.091.186.171.151,2950560878140.0,56483192756.0,367128918307.0,387206050544.0,567792959291.0,-46782297035.0,1787061911805.0,-1978265442657.0,4091186171151.0
Thu nhập khác,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Thu nhập khác,Thu nhập khác,282.310.198.614,9.094.131.099,79.561.939.421,14.568.708.595,7.922.182.466,667.677.280,6.958.601.854,(86.537.175.630),314.546.263.699,282310198614.0,9094131099.0,79561939421.0,14568708595.0,7922182466.0,667677280.0,6958601854.0,-86537175630.0,314546263699.0
Chi phí khác,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi phí khác,Chi phí khác,(311.493.115.751),(313.443.159),(2.672.546.261),(9.544.255.602),(91.680.952.862),(120.949.033),(579.648.126),501.140.740,(415.903.770.054),-311493115751.0,-313443159.0,-2672546261.0,-9544255602.0,-91680952862.0,-120949033.0,-579648126.0,501140740.0,-415903770054.0
Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,(219.018.415.062),(13.237.030.216),(91.960.635.607),(100.240.295.233),(90.030.400.952),-,(2.492.111.243),-,(516.978.888.313),-219018415062.0,-13237030216.0,-91960635607.0,-100240295233.0,-90030400952.0,,-2492111243.0,,-516978888313.0
Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,Chi phí thuế thu nhập doanh nghiệp hiện hành (Chi phí)/lợi ích thuế thu nhập hoãn lại,(362.734.939),926.615.009,1.932.510.445,16.370.220.408,1.033.815.332,-,-,11.632.285.041,31.532.711.296,-362734939.0,926615009.0,1932510445.0,16370220408.0,1033815332.0,,,11632285041.0,31532711296.0
Lợi nhuận thuần sau thuế,Cho năm kết thúc ngày 31 tháng 12 năm 2015 > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,2.701.996.811.002,52.953.465.489,353.990.186.305,308.360.428.712,395.037.603.275,(46.235.568.788),1.790.948.754.290,(2.052.669.192.506),3.504.382.487.779,2701996811002.0,52953465489.0,353990186305.0,308360428712.0,395037603275.0,-46235568788.0,1790948754290.0,-2052669192506.0,3504382487779.0
