row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản khác,Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản khác,numeric__Tổng
,,,VND,VND,VND,VND,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,178.394.670.071,182.466.424.209,6.196.510.427,367.057.604.707,178394670071.0,182466424209.0,6196510427.0,367057604707.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,4.990.231.000,-,4.990.231.000,,4990231000.0,,4990231000.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,-,24.123.223.700,-,24.123.223.700,,24123223700.0,,24123223700.0
"Thanh lý, xóa số","NGUYÊN GIÁ > Thanh lý, xóa số","Thanh lý, xóa số",-,(1.415.482.000),-,(1.415.482.000),,-1415482000.0,,-1415482000.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,178.394.670.071,210.164.396.909,6.196.510.427,394.755.577.407,178394670071.0,210164396909.0,6196510427.0,394755577407.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,33.046.972.633,145.369.808.997,4.424.844.611,182.841.626.241,33046972633.0,145369808997.0,4424844611.0,182841626241.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,2.642.575.920,23.305.613.428,170.079.924,26.118.269.272,2642575920.0,23305613428.0,170079924.0,26118269272.0
"Thanh lý, xóa số","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, xóa số","Thanh lý, xóa số",-,(1.415.482.000),-,(1.415.482.000),,-1415482000.0,,-1415482000.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,35.689.548.553,167.259.940.425,4.594.924.535,207.544.413.513,35689548553.0,167259940425.0,4594924535.0,207544413513.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,145.347.697.438,37.096.615.212,1.771.665.816,184.215.978.466,145347697438.0,37096615212.0,1771665816.0,184215978466.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,142.705.121.518,42.904.456.484,1.601.585.892,187.211.163.894,142705121518.0,42904456484.0,1601585892.0,187211163894.0
