row_label_raw,row_label_full,Mã số,Khoản mục,Thuyết minh,Số trước điều chỉnh,Điều chỉnh,Đơn vị tính: VND Số sau điều chỉnh,numeric__Khoản mục,numeric__Thuyết minh,numeric__Số trước điều chỉnh,numeric__Điều chỉnh,numeric__Đơn vị tính: VND Số sau điều chỉnh
BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG,,,,,
1,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > 1,1,Doanh thu bán hàng và cung cấp dịch vụ,"(xvi), (xvii)",2.045.667.582.373,(97.987.222.457),1.947.680.359.916,,,2045667582373.0,-97987222457.0,1947680359916.0
11,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > 11,11,Giá vốn hàng bán và cung cấp dịch vụ,(xv),(1.557.921.777.291),(1.290.184.181),(1.559.211.961.472),,,-1557921777291.0,-1290184181.0,-1559211961472.0
22,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > 22,22,Chi phí tài chính,(xii),(11.798.180.202),(1.803.106.202),(13.601.286.404),,,-11798180202.0,-1803106202.0,-13601286404.0
25,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > 25,25,Chi phí bán hàng,"(xiii), (xvi)",(32.874.988.921),17.801.689.105,(15.073.299.816),,,-32874988921.0,17801689105.0,-15073299816.0
26,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > 26,26,Chi phí quản lý doanh nghiệp,"(xii), (xvi)",(83.401.297.717),31.923.442.441,(51.477.855.276),,,-83401297717.0,31923442441.0,-51477855276.0
30,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,"(xiii), (xv), (xvii), (xvii)",605.970.816.644,(51.355.381.294),554.615.435.350,,,605970816644.0,-51355381294.0,554615435350.0
30,BÁO CÁO KẾT QUẢ HOẠT ĐỘNG KINH DOANH RIÊNG > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,"(xiii), (xv), (xvii), (xvii)",20.671.536.641,70.000.000.000,90.671.536.641,,,20671536641.0,70000000000.0,90671536641.0
31,31,31,Thu nhập khác,(xvii),,,,,,,,
51,51,51,Chi phí thuế TNDN hiện hành,"(xii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvii), (xvIIi, xVII, xVIII, xVIII, x",,,,,,,,
